temps (s);temps (ms);temps;ACTU;MILIEU;LASER; courant = 0.647A; tension = -0.336
0;0;7;23.62;23.80;23.62;;
0.003;3;13372;23.53;23.71;23.45;;
0.006;6;13375;23.53;23.71;23.45;;
0.009;9;13378;23.53;23.71;23.45;;
0.013;13;13382;23.53;23.71;23.45;;
0.016;16;13385;23.53;23.71;23.45;;
0.019;19;13388;23.53;23.71;23.45;;
0.022;22;13391;23.53;23.71;23.45;;
0.025;25;13394;23.53;23.71;23.45;;
0.029;29;13398;23.53;23.71;23.45;;
0.033;33;13402;23.53;23.71;23.45;;
0.036;36;13405;23.53;23.71;23.45;;
0.039;39;13408;23.53;23.71;23.45;;
0.042;42;13411;23.53;23.71;23.45;;
0.045;45;13414;23.53;23.71;23.45;;
0.048;48;13417;23.45;23.71;23.45;;
0.051;51;13420;23.53;23.71;23.45;;
0.055;55;13424;23.53;23.71;23.45;;
0.058;58;13427;23.53;23.71;23.45;;
0.061;61;13430;23.53;23.71;23.45;;
0.064;64;13433;23.53;23.71;23.45;;
0.067;67;13436;23.53;23.71;23.45;;
0.071;71;13440;23.53;23.71;23.45;;
0.075;75;13444;23.53;23.71;23.53;;
0.078;78;13447;23.53;23.71;23.45;;
0.081;81;13450;23.53;23.71;23.45;;
0.084;84;13453;23.53;23.71;23.45;;
0.087;87;13456;23.45;23.71;23.53;;
0.09;90;13459;23.53;23.71;23.45;;
0.093;93;13462;23.53;23.71;23.45;;
0.097;97;13466;23.53;23.71;23.45;;
0.1;100;13469;23.53;23.71;23.45;;
0.103;103;13472;23.53;23.71;23.45;;
0.106;106;13475;23.53;23.71;23.45;;
0.109;109;13478;23.53;23.71;23.45;;
0.112;112;13481;23.53;23.71;23.45;;
0.117;117;13486;23.53;23.71;23.45;;
0.12;120;13489;23.53;23.71;23.45;;
0.123;123;13492;23.53;23.71;23.45;;
0.126;126;13495;23.45;23.71;23.45;;
0.129;129;13498;23.53;23.71;23.45;;
0.132;132;13501;23.53;23.71;23.45;;
0.135;135;13504;23.53;23.71;23.45;;
0.139;139;13508;23.53;23.71;23.45;;
0.142;142;13511;23.45;23.71;23.45;;
0.145;145;13514;23.45;23.71;23.45;;
0.148;148;13517;23.53;23.71;23.45;;
0.151;151;13520;23.45;23.71;23.45;;
0.154;154;13523;23.53;23.71;23.45;;
0.159;159;13528;23.53;23.71;23.45;;
0.162;162;13531;23.45;23.71;23.45;;
0.165;165;13534;23.53;23.71;23.45;;
0.168;168;13537;23.53;23.71;23.45;;
0.171;171;13540;23.53;23.71;23.53;;
0.174;174;13543;23.45;23.71;23.45;;
0.178;178;13547;23.45;23.71;23.53;;
0.181;181;13550;23.45;23.71;23.45;;
0.184;184;13553;23.53;23.71;23.45;;
0.187;187;13556;23.45;23.71;23.45;;
0.19;190;13559;23.53;23.71;23.45;;
0.193;193;13562;23.53;23.71;23.45;;
0.196;196;13565;23.53;23.71;23.45;;
0.201;201;13570;23.53;23.71;23.45;;
0.204;204;13573;23.53;23.71;23.45;;
0.207;207;13576;23.53;23.71;23.45;;
0.21;210;13579;23.45;23.71;23.45;;
0.213;213;13582;23.53;23.71;23.45;;
0.216;216;13585;23.53;23.71;23.45;;
0.22;220;13589;23.45;23.71;23.45;;
0.223;223;13592;23.53;23.71;23.45;;
0.226;226;13595;23.45;23.71;23.45;;
0.229;229;13598;23.45;23.71;23.53;;
0.232;232;13601;23.45;23.71;23.45;;
0.235;235;13604;23.45;23.71;23.45;;
0.238;238;13607;23.53;23.71;23.45;;
0.243;243;13612;23.53;23.71;23.45;;
0.246;246;13615;23.45;23.62;23.45;;
0.249;249;13618;23.45;23.71;23.45;;
0.252;252;13621;23.45;23.71;23.53;;
0.255;255;13624;23.45;23.71;23.45;;
0.258;258;13627;23.45;23.71;23.45;;
0.262;262;13631;23.53;23.71;23.45;;
0.265;265;13634;23.53;23.71;23.45;;
0.268;268;13637;23.45;23.71;23.45;;
0.271;271;13640;23.53;23.71;23.45;;
0.274;274;13643;23.45;23.71;23.45;;
0.277;277;13646;23.45;23.71;23.45;;
0.28;280;13649;23.45;23.71;23.45;;
0.285;285;13654;23.45;23.71;23.45;;
0.288;288;13657;23.53;23.71;23.45;;
0.291;291;13660;23.45;23.71;23.45;;
0.294;294;13663;23.45;23.71;23.45;;
0.297;297;13666;23.45;23.71;23.45;;
0.3;300;13669;23.53;23.71;23.45;;
0.304;304;13673;23.53;23.71;23.45;;
0.307;307;13676;23.45;23.71;23.45;;
0.31;310;13679;23.45;23.71;23.45;;
0.313;313;13682;23.53;23.71;23.45;;
0.316;316;13685;23.45;23.71;23.45;;
0.319;319;13688;23.45;23.71;23.45;;
0.322;322;13691;23.45;23.71;23.45;;
0.327;327;13696;23.45;23.71;23.45;;
0.33;330;13699;23.45;23.71;23.45;;
0.333;333;13702;23.53;23.71;23.45;;
0.336;336;13705;23.45;23.71;23.45;;
0.339;339;13708;23.45;23.71;23.45;;
0.342;342;13711;23.45;23.71;23.45;;
0.346;346;13715;23.45;23.71;23.45;;
0.349;349;13718;23.53;23.71;23.45;;
0.352;352;13721;23.45;23.71;23.45;;
0.355;355;13724;23.53;23.71;23.45;;
0.358;358;13727;23.45;23.71;23.45;;
0.361;361;13730;23.45;23.71;23.45;;
0.364;364;13733;23.45;23.71;23.45;;
0.368;368;13737;23.45;23.71;23.45;;
0.372;372;13741;23.45;23.71;23.45;;
0.375;375;13744;23.45;23.71;23.45;;
0.378;378;13747;23.45;23.71;23.45;;
0.381;381;13750;23.45;23.71;23.45;;
0.384;384;13753;23.45;23.71;23.45;;
0.388;388;13757;23.45;23.71;23.45;;
0.391;391;13760;23.45;23.71;23.45;;
0.394;394;13763;23.45;23.71;23.45;;
0.397;397;13766;23.45;23.71;23.45;;
0.4;400;13769;23.45;23.71;23.45;;
0.403;403;13772;23.45;23.71;23.45;;
0.407;407;13776;23.45;23.71;23.45;;
0.41;410;13779;23.45;23.71;23.45;;
0.414;414;13783;23.45;23.71;23.45;;
0.417;417;13786;23.45;23.71;23.53;;
0.42;420;13789;23.45;23.71;23.45;;
0.423;423;13792;23.45;23.71;23.45;;
0.427;427;13796;23.45;23.71;23.45;;
0.43;430;13799;23.45;23.71;23.45;;
0.433;433;13802;23.45;23.71;23.45;;
0.436;436;13805;23.45;23.71;23.45;;
0.439;439;13808;23.45;23.71;23.45;;
0.442;442;13811;23.45;23.71;23.45;;
0.445;445;13814;23.45;23.71;23.45;;
0.449;449;13818;23.45;23.71;23.45;;
0.452;452;13821;23.45;23.71;23.45;;
0.456;456;13825;23.45;23.71;23.45;;
0.459;459;13828;23.45;23.71;23.45;;
0.462;462;13831;23.45;23.71;23.45;;
0.465;465;13834;23.45;23.71;23.45;;
0.469;469;13838;23.45;23.71;23.45;;
0.472;472;13841;23.45;23.71;23.45;;
0.475;475;13844;23.45;23.71;23.45;;
0.478;478;13847;23.45;23.71;23.45;;
0.481;481;13850;23.45;23.71;23.45;;
0.484;484;13853;23.45;23.71;23.45;;
0.487;487;13856;23.45;23.71;23.45;;
0.491;491;13860;23.45;23.71;23.45;;
0.494;494;13863;23.45;23.71;23.45;;
0.498;498;13867;23.45;23.71;23.45;;
0.501;501;13870;23.45;23.71;23.45;;
0.504;504;13873;23.45;23.71;23.45;;
0.507;507;13876;23.45;23.71;23.45;;
0.511;511;13880;23.45;23.71;23.45;;
0.514;514;13883;23.45;23.71;23.45;;
0.517;517;13886;23.45;23.71;23.45;;
0.52;520;13889;23.45;23.71;23.45;;
0.523;523;13892;23.45;23.71;23.45;;
0.526;526;13895;23.45;23.71;23.45;;
0.529;529;13898;23.45;23.71;23.45;;
0.533;533;13902;23.45;23.71;23.45;;
0.536;536;13905;23.45;23.71;23.45;;
0.539;539;13908;23.45;23.71;23.45;;
0.543;543;13912;23.45;23.71;23.45;;
0.546;546;13915;23.45;23.71;23.45;;
0.549;549;13918;23.45;23.71;23.45;;
0.553;553;13922;23.45;23.71;23.45;;
0.556;556;13925;23.45;23.71;23.45;;
0.559;559;13928;23.45;23.71;23.45;;
0.562;562;13931;23.45;23.71;23.45;;
0.565;565;13934;23.45;23.71;23.45;;
0.568;568;13937;23.45;23.71;23.45;;
0.572;572;13941;23.45;23.71;23.45;;
0.575;575;13944;23.45;23.71;23.45;;
0.578;578;13947;23.45;23.71;23.45;;
0.581;581;13950;23.45;23.71;23.45;;
0.585;585;13954;23.45;23.71;23.45;;
0.588;588;13957;23.45;23.71;23.45;;
0.592;592;13961;23.45;23.71;23.45;;
0.595;595;13964;23.45;23.71;23.45;;
0.598;598;13967;23.45;23.71;23.45;;
0.601;601;13970;23.45;23.71;23.45;;
0.604;604;13973;23.45;23.71;23.45;;
0.607;607;13976;23.45;23.71;23.45;;
0.61;610;13979;23.45;23.71;23.45;;
0.614;614;13983;23.45;23.71;23.45;;
0.617;617;13986;23.45;23.71;23.45;;
0.62;620;13989;23.45;23.71;23.53;;
0.623;623;13992;23.45;23.71;23.53;;
0.627;627;13996;23.45;23.71;23.45;;
0.63;630;13999;23.45;23.71;23.53;;
0.634;634;14003;23.45;23.71;23.45;;
0.637;637;14006;23.45;23.71;23.45;;
0.64;640;14009;23.45;23.71;23.45;;
0.643;643;14012;23.45;23.71;23.45;;
0.646;646;14015;23.45;23.71;23.45;;
0.649;649;14018;23.45;23.71;23.45;;
0.652;652;14021;23.45;23.71;23.45;;
0.656;656;14025;23.45;23.71;23.45;;
0.659;659;14028;23.45;23.71;23.45;;
0.662;662;14031;23.45;23.71;23.45;;
0.665;665;14034;23.45;23.71;23.45;;
0.669;669;14038;23.45;23.71;23.45;;
0.672;672;14041;23.45;23.71;23.45;;
0.676;676;14045;23.45;23.71;23.45;;
0.679;679;14048;23.45;23.71;23.45;;
0.682;682;14051;23.45;23.71;23.45;;
0.685;685;14054;23.45;23.71;23.45;;
0.688;688;14057;23.45;23.71;23.45;;
0.691;691;14060;23.45;23.71;23.45;;
0.695;695;14064;23.45;23.71;23.45;;
0.698;698;14067;23.45;23.71;23.45;;
0.701;701;14070;23.45;23.71;23.45;;
0.704;704;14073;23.45;23.71;23.45;;
0.707;707;14076;23.45;23.71;23.45;;
0.711;711;14080;23.45;23.71;23.45;;
0.714;714;14083;23.36;23.71;23.45;;
0.718;718;14087;23.36;23.71;23.45;;
0.721;721;14090;23.45;23.71;23.45;;
0.724;724;14093;23.45;23.71;23.45;;
0.727;727;14096;23.36;23.71;23.45;;
0.73;730;14099;23.45;23.71;23.45;;
0.733;733;14102;23.45;23.71;23.45;;
0.737;737;14106;23.45;23.71;23.45;;
0.74;740;14109;23.45;23.71;23.45;;
0.743;743;14112;23.45;23.71;23.45;;
0.746;746;14115;23.45;23.71;23.45;;
0.749;749;14118;23.45;23.71;23.45;;
0.752;752;14121;23.36;23.71;23.45;;
0.757;757;14126;23.45;23.71;23.45;;
0.76;760;14129;23.45;23.71;23.45;;
0.763;763;14132;23.45;23.71;23.45;;
0.766;766;14135;23.45;23.71;23.45;;
0.769;769;14138;23.36;23.71;23.45;;
0.772;772;14141;23.45;23.71;23.45;;
0.775;775;14144;23.45;23.71;23.45;;
0.779;779;14148;23.45;23.71;23.45;;
0.782;782;14151;23.45;23.71;23.45;;
0.785;785;14154;23.45;23.71;23.45;;
0.788;788;14157;23.45;23.71;23.45;;
0.791;791;14160;23.45;23.71;23.45;;
0.794;794;14163;23.45;23.71;23.45;;
0.799;799;14168;23.45;23.71;23.53;;
0.802;802;14171;23.45;23.71;23.45;;
0.805;805;14174;23.45;23.71;23.45;;
0.808;808;14177;23.45;23.71;23.45;;
0.811;811;14180;23.45;23.71;23.45;;
0.814;814;14183;23.45;23.71;23.45;;
0.817;817;14186;23.45;23.71;23.45;;
0.821;821;14190;23.45;23.71;23.45;;
0.824;824;14193;23.36;23.71;23.45;;
0.827;827;14196;23.45;23.71;23.45;;
0.83;830;14199;23.45;23.71;23.45;;
0.833;833;14202;23.45;23.71;23.45;;
0.836;836;14205;23.45;23.71;23.45;;
0.841;841;14210;23.36;23.71;23.45;;
0.844;844;14213;23.36;23.71;23.45;;
0.847;847;14216;23.45;23.71;23.53;;
0.85;850;14219;23.45;23.71;23.45;;
0.853;853;14222;23.36;23.71;23.45;;
0.856;856;14225;23.45;23.71;23.45;;
0.86;860;14229;23.36;23.71;23.45;;
0.863;863;14232;23.36;23.71;23.45;;
0.866;866;14235;23.36;23.71;23.45;;
0.869;869;14238;23.36;23.71;23.45;;
0.872;872;14241;23.36;23.71;23.45;;
0.875;875;14244;23.36;23.71;23.45;;
0.878;878;14247;23.36;23.71;23.45;;
0.883;883;14252;23.45;23.71;23.45;;
0.886;886;14255;23.36;23.71;23.45;;
0.889;889;14258;23.36;23.71;23.45;;
0.892;892;14261;23.45;23.71;23.45;;
0.895;895;14264;23.45;23.71;23.45;;
0.898;898;14267;23.36;23.71;23.45;;
0.902;902;14271;23.36;23.71;23.45;;
0.905;905;14274;23.45;23.71;23.45;;
0.908;908;14277;23.36;23.71;23.45;;
0.911;911;14280;23.45;23.71;23.45;;
0.914;914;14283;23.45;23.71;23.45;;
0.917;917;14286;23.45;23.71;23.45;;
0.92;920;14289;23.36;23.71;23.45;;
0.925;925;14294;23.45;23.71;23.45;;
0.928;928;14297;23.36;23.71;23.45;;
0.931;931;14300;23.36;23.71;23.45;;
0.934;934;14303;23.36;23.71;23.45;;
0.937;937;14306;23.36;23.71;23.45;;
0.94;940;14309;23.36;23.71;23.45;;
0.944;944;14313;23.36;23.71;23.45;;
0.947;947;14316;23.36;23.71;23.45;;
0.95;950;14319;23.36;23.71;23.45;;
0.953;953;14322;23.36;23.71;23.45;;
0.956;956;14325;23.45;23.71;23.45;;
0.959;959;14328;23.45;23.71;23.45;;
0.963;963;14332;23.36;23.71;23.45;;
0.967;967;14336;23.36;23.71;23.45;;
0.97;970;14339;23.36;23.71;23.45;;
0.973;973;14342;23.36;23.71;23.45;;
0.976;976;14345;23.45;23.62;23.45;;
0.979;979;14348;23.45;23.71;23.45;;
0.983;983;14352;23.36;23.71;23.45;;
0.986;986;14355;23.36;23.71;23.45;;
0.989;989;14358;23.36;23.71;23.45;;
0.992;992;14361;23.36;23.71;23.45;;
0.995;995;14364;23.36;23.71;23.45;;
0.998;998;14367;23.36;23.71;23.45;;
1.001;1001;14370;23.36;23.71;23.45;;
1.005;1005;14374;23.36;23.71;23.45;;
1.008;1008;14377;23.36;23.71;23.45;;
1.012;1012;14381;23.36;23.71;23.45;;
1.015;1015;14384;23.36;23.71;23.45;;
1.018;1018;14387;23.36;23.71;23.45;;
1.021;1021;14390;23.36;23.71;23.45;;
1.025;1025;14394;23.36;23.71;23.45;;
1.028;1028;14397;23.36;23.71;23.45;;
1.031;1031;14400;23.36;23.71;23.45;;
1.034;1034;14403;23.36;23.71;23.45;;
1.037;1037;14406;23.36;23.71;23.45;;
1.04;1040;14409;23.36;23.71;23.45;;
1.043;1043;14412;23.36;23.71;23.45;;
1.047;1047;14416;23.36;23.71;23.45;;
1.05;1050;14419;23.36;23.71;23.45;;
1.054;1054;14423;23.36;23.71;23.45;;
1.057;1057;14426;23.36;23.71;23.45;;
1.06;1060;14429;23.36;23.71;23.45;;
1.063;1063;14432;23.36;23.71;23.45;;
1.067;1067;14436;23.36;23.71;23.45;;
1.07;1070;14439;23.36;23.71;23.45;;
1.073;1073;14442;23.36;23.71;23.45;;
1.076;1076;14445;23.36;23.71;23.45;;
1.079;1079;14448;23.36;23.71;23.45;;
1.082;1082;14451;23.36;23.71;23.45;;
1.086;1086;14455;23.36;23.71;23.45;;
1.089;1089;14458;23.36;23.71;23.45;;
1.092;1092;14461;23.36;23.71;23.45;;
1.096;1096;14465;23.36;23.71;23.45;;
1.099;1099;14468;23.36;23.71;23.45;;
1.102;1102;14471;23.36;23.71;23.45;;
1.106;1106;14475;23.36;23.71;23.45;;
1.109;1109;14478;23.36;23.71;23.45;;
1.112;1112;14481;23.36;23.71;23.45;;
1.115;1115;14484;23.36;23.71;23.45;;
1.118;1118;14487;23.36;23.71;23.45;;
1.121;1121;14490;23.36;23.71;23.45;;
1.124;1124;14493;23.36;23.71;23.45;;
1.128;1128;14497;23.36;23.71;23.45;;
1.131;1131;14500;23.36;23.71;23.45;;
1.134;1134;14503;23.36;23.71;23.45;;
1.138;1138;14507;23.36;23.71;23.45;;
1.141;1141;14510;23.36;23.71;23.45;;
1.144;1144;14513;23.36;23.71;23.45;;
1.148;1148;14517;23.36;23.71;23.45;;
1.151;1151;14520;23.36;23.71;23.45;;
1.154;1154;14523;23.36;23.71;23.45;;
1.157;1157;14526;23.36;23.71;23.45;;
1.16;1160;14529;23.36;23.71;23.45;;
1.163;1163;14532;23.36;23.71;23.45;;
1.166;1166;14535;23.36;23.71;23.45;;
1.17;1170;14539;23.36;23.71;23.53;;
1.173;1173;14542;23.36;23.71;23.45;;
1.176;1176;14545;23.36;23.71;23.45;;
1.179;1179;14548;23.36;23.71;23.45;;
1.183;1183;14552;23.36;23.71;23.45;;
1.186;1186;14555;23.36;23.71;23.45;;
1.19;1190;14559;23.36;23.71;23.45;;
1.193;1193;14562;23.36;23.71;23.45;;
1.196;1196;14565;23.36;23.62;23.45;;
1.199;1199;14568;23.36;23.71;23.45;;
1.202;1202;14571;23.36;23.71;23.45;;
1.205;1205;14574;23.36;23.71;23.45;;
1.209;1209;14578;23.36;23.71;23.45;;
1.212;1212;14581;23.36;23.71;23.45;;
1.215;1215;14584;23.36;23.71;23.45;;
1.218;1218;14587;23.36;23.71;23.45;;
1.221;1221;14590;23.36;23.71;23.45;;
1.225;1225;14594;23.36;23.71;23.45;;
1.229;1229;14598;23.36;23.71;23.45;;
1.232;1232;14601;23.36;23.71;23.45;;
1.235;1235;14604;23.36;23.71;23.45;;
1.238;1238;14607;23.36;23.71;23.45;;
1.241;1241;14610;23.36;23.71;23.45;;
1.244;1244;14613;23.36;23.71;23.45;;
1.247;1247;14616;23.36;23.71;23.45;;
1.251;1251;14620;23.36;23.71;23.45;;
1.254;1254;14623;23.36;23.71;23.45;;
1.257;1257;14626;23.36;23.71;23.45;;
1.26;1260;14629;23.36;23.71;23.45;;
1.263;1263;14632;23.36;23.71;23.45;;
1.267;1267;14636;23.36;23.71;23.45;;
1.271;1271;14640;23.36;23.71;23.45;;
1.274;1274;14643;23.36;23.71;23.45;;
1.277;1277;14646;23.36;23.71;23.45;;
1.28;1280;14649;23.36;23.71;23.45;;
1.283;1283;14652;23.36;23.71;23.45;;
1.286;1286;14655;23.36;23.71;23.45;;
1.289;1289;14658;23.36;23.71;23.45;;
1.293;1293;14662;23.36;23.71;23.45;;
1.296;1296;14665;23.27;23.71;23.45;;
1.299;1299;14668;23.36;23.71;23.45;;
1.302;1302;14671;23.36;23.71;23.45;;
1.305;1305;14674;23.36;23.71;23.45;;
1.309;1309;14678;23.36;23.71;23.45;;
1.313;1313;14682;23.36;23.71;23.45;;
1.316;1316;14685;23.36;23.71;23.45;;
1.319;1319;14688;23.36;23.71;23.45;;
1.322;1322;14691;23.36;23.71;23.45;;
1.325;1325;14694;23.36;23.71;23.45;;
1.328;1328;14697;23.36;23.71;23.45;;
1.332;1332;14701;23.36;23.71;23.45;;
1.335;1335;14704;23.27;23.71;23.45;;
1.338;1338;14707;23.36;23.71;23.45;;
1.341;1341;14710;23.36;23.62;23.45;;
1.344;1344;14713;23.36;23.71;23.45;;
1.347;1347;14716;23.36;23.71;23.45;;
1.351;1351;14720;23.27;23.71;23.45;;
1.355;1355;14724;23.36;23.71;23.45;;
1.358;1358;14727;23.36;23.71;23.45;;
1.361;1361;14730;23.36;23.71;23.45;;
1.364;1364;14733;23.27;23.71;23.45;;
1.367;1367;14736;23.36;23.71;23.45;;
1.37;1370;14739;23.36;23.71;23.45;;
1.374;1374;14743;23.27;23.71;23.45;;
1.377;1377;14746;23.27;23.71;23.45;;
1.38;1380;14749;23.36;23.71;23.45;;
1.383;1383;14752;23.27;23.71;23.45;;
1.386;1386;14755;23.36;23.71;23.45;;
1.389;1389;14758;23.36;23.71;23.45;;
1.392;1392;14761;23.27;23.71;23.45;;
1.397;1397;14766;23.36;23.62;23.45;;
1.4;1400;14769;23.27;23.71;23.45;;
1.403;1403;14772;23.36;23.71;23.45;;
1.406;1406;14775;23.27;23.62;23.45;;
1.409;1409;14778;23.36;23.71;23.45;;
1.412;1412;14781;23.27;23.71;23.45;;
1.416;1416;14785;23.27;23.71;23.45;;
1.419;1419;14788;23.27;23.71;23.45;;
1.422;1422;14791;23.36;23.71;23.45;;
1.425;1425;14794;23.27;23.71;23.45;;
1.428;1428;14797;23.36;23.71;23.45;;
1.431;1431;14800;23.36;23.71;23.45;;
1.434;1434;14803;23.27;23.62;23.45;;
1.439;1439;14808;23.27;23.71;23.45;;
1.442;1442;14811;23.27;23.71;23.45;;
1.445;1445;14814;23.36;23.71;23.45;;
1.448;1448;14817;23.27;23.71;23.45;;
1.451;1451;14820;23.27;23.71;23.45;;
1.454;1454;14823;23.27;23.71;23.45;;
1.458;1458;14827;23.27;23.71;23.45;;
1.461;1461;14830;23.27;23.71;23.45;;
1.464;1464;14833;23.27;23.71;23.45;;
1.467;1467;14836;23.27;23.71;23.45;;
1.47;1470;14839;23.27;23.71;23.45;;
1.473;1473;14842;23.27;23.71;23.45;;
1.476;1476;14845;23.27;23.71;23.45;;
1.481;1481;14850;23.27;23.71;23.45;;
1.484;1484;14853;23.27;23.71;23.45;;
1.487;1487;14856;23.36;23.71;23.45;;
1.49;1490;14859;23.27;23.71;23.45;;
1.493;1493;14862;23.27;23.71;23.45;;
1.496;1496;14865;23.27;23.71;23.45;;
1.5;1500;14869;23.27;23.71;23.45;;
1.503;1503;14872;23.27;23.71;23.45;;
1.506;1506;14875;23.27;23.71;23.45;;
1.509;1509;14878;23.27;23.71;23.45;;
1.512;1512;14881;23.27;23.71;23.45;;
1.515;1515;14884;23.27;23.71;23.45;;
1.518;1518;14887;23.27;23.71;23.45;;
1.523;1523;14892;23.27;23.71;23.45;;
1.526;1526;14895;23.27;23.71;23.45;;
1.529;1529;14898;23.27;23.71;23.45;;
1.532;1532;14901;23.27;23.71;23.45;;
1.535;1535;14904;23.27;23.71;23.45;;
1.538;1538;14907;23.27;23.71;23.45;;
1.542;1542;14911;23.27;23.71;23.45;;
1.545;1545;14914;23.27;23.71;23.45;;
1.548;1548;14917;23.27;23.71;23.45;;
1.551;1551;14920;23.27;23.71;23.45;;
1.554;1554;14923;23.27;23.71;23.45;;
1.557;1557;14926;23.27;23.71;23.45;;
1.561;1561;14930;23.27;23.71;23.45;;
1.565;1565;14934;23.27;23.71;23.45;;
1.568;1568;14937;23.27;23.71;23.45;;
1.571;1571;14940;23.27;23.71;23.45;;
1.574;1574;14943;23.27;23.71;23.45;;
1.577;1577;14946;23.27;23.71;23.45;;
1.581;1581;14950;23.27;23.71;23.45;;
1.584;1584;14953;23.27;23.71;23.45;;
1.587;1587;14956;23.27;23.71;23.45;;
1.59;1590;14959;23.27;23.71;23.45;;
1.593;1593;14962;23.27;23.71;23.45;;
1.596;1596;14965;23.27;23.71;23.45;;
1.599;1599;14968;23.27;23.71;23.45;;
1.603;1603;14972;23.27;23.71;23.45;;
1.607;1607;14976;23.27;23.71;23.45;;
1.61;1610;14979;23.27;23.71;23.45;;
1.613;1613;14982;23.27;23.71;23.45;;
1.616;1616;14985;23.27;23.71;23.45;;
1.619;1619;14988;23.27;23.71;23.45;;
1.623;1623;14992;23.27;23.71;23.45;;
1.626;1626;14995;23.27;23.71;23.45;;
1.629;1629;14998;23.27;23.71;23.45;;
1.632;1632;15001;23.27;23.71;23.45;;
1.635;1635;15004;23.27;23.71;23.45;;
1.638;1638;15007;23.27;23.62;23.45;;
1.641;1641;15010;23.27;23.71;23.45;;
1.645;1645;15014;23.27;23.71;23.45;;
1.648;1648;15017;23.27;23.71;23.45;;
1.652;1652;15021;23.27;23.71;23.45;;
1.655;1655;15024;23.27;23.71;23.45;;
1.658;1658;15027;23.27;23.71;23.45;;
1.661;1661;15030;23.27;23.71;23.45;;
1.665;1665;15034;23.27;23.71;23.45;;
1.668;1668;15037;23.27;23.71;23.45;;
1.671;1671;15040;23.27;23.71;23.45;;
1.674;1674;15043;23.27;23.71;23.45;;
1.677;1677;15046;23.27;23.71;23.45;;
1.68;1680;15049;23.27;23.71;23.45;;
1.683;1683;15052;23.27;23.71;23.45;;
1.687;1687;15056;23.27;23.71;23.45;;
1.69;1690;15059;23.27;23.71;23.45;;
1.694;1694;15063;23.27;23.71;23.45;;
1.697;1697;15066;23.27;23.71;23.45;;
1.7;1700;15069;23.27;23.71;23.45;;
1.703;1703;15072;23.27;23.71;23.45;;
1.707;1707;15076;23.27;23.71;23.45;;
1.71;1710;15079;23.27;23.71;23.45;;
1.713;1713;15082;23.27;23.62;23.45;;
1.716;1716;15085;23.27;23.71;23.45;;
1.719;1719;15088;23.27;23.71;23.45;;
1.722;1722;15091;23.27;23.71;23.45;;
1.725;1725;15094;23.27;23.71;23.45;;
1.729;1729;15098;23.27;23.71;23.45;;
1.732;1732;15101;23.27;23.71;23.45;;
1.736;1736;15105;23.27;23.71;23.45;;
1.739;1739;15108;23.27;23.71;23.45;;
1.742;1742;15111;23.27;23.71;23.45;;
1.745;1745;15114;23.27;23.71;23.45;;
1.749;1749;15118;23.27;23.71;23.45;;
1.752;1752;15121;23.27;23.71;23.45;;
1.755;1755;15124;23.27;23.71;23.45;;
1.758;1758;15127;23.27;23.71;23.45;;
1.761;1761;15130;23.18;23.71;23.45;;
1.764;1764;15133;23.27;23.71;23.45;;
1.767;1767;15136;23.27;23.71;23.45;;
1.771;1771;15140;23.27;23.71;23.45;;
1.774;1774;15143;23.27;23.71;23.45;;
1.778;1778;15147;23.27;23.71;23.45;;
1.781;1781;15150;23.27;23.71;23.45;;
1.784;1784;15153;23.27;23.71;23.45;;
1.787;1787;15156;23.27;23.71;23.45;;
1.791;1791;15160;23.27;23.71;23.45;;
1.794;1794;15163;23.27;23.71;23.45;;
1.797;1797;15166;23.27;23.62;23.45;;
1.8;1800;15169;23.27;23.71;23.45;;
1.803;1803;15172;23.27;23.71;23.45;;
1.806;1806;15175;23.27;23.71;23.45;;
1.81;1810;15179;23.18;23.71;23.45;;
1.813;1813;15182;23.27;23.71;23.45;;
1.816;1816;15185;23.27;23.71;23.45;;
1.819;1819;15188;23.27;23.71;23.45;;
1.823;1823;15192;23.27;23.71;23.45;;
1.826;1826;15195;23.27;23.71;23.45;;
1.83;1830;15199;23.27;23.71;23.45;;
1.833;1833;15202;23.27;23.71;23.45;;
1.836;1836;15205;23.27;23.71;23.45;;
1.839;1839;15208;23.27;23.71;23.45;;
1.842;1842;15211;23.27;23.71;23.45;;
1.845;1845;15214;23.27;23.71;23.45;;
1.848;1848;15217;23.18;23.71;23.45;;
1.852;1852;15221;23.27;23.62;23.45;;
1.855;1855;15224;23.27;23.71;23.45;;
1.858;1858;15227;23.27;23.71;23.45;;
1.861;1861;15230;23.27;23.71;23.45;;
1.865;1865;15234;23.27;23.71;23.45;;
1.868;1868;15237;23.18;23.71;23.45;;
1.872;1872;15241;23.27;23.71;23.45;;
1.875;1875;15244;23.27;23.71;23.45;;
1.878;1878;15247;23.18;23.71;23.45;;
1.881;1881;15250;23.27;23.71;23.45;;
1.884;1884;15253;23.18;23.71;23.45;;
1.887;1887;15256;23.27;23.71;23.45;;
1.89;1890;15259;23.27;23.71;23.45;;
1.894;1894;15263;23.27;23.71;23.45;;
1.897;1897;15266;23.27;23.71;23.45;;
1.9;1900;15269;23.27;23.71;23.45;;
1.903;1903;15272;23.18;23.71;23.45;;
1.907;1907;15276;23.27;23.71;23.45;;
1.91;1910;15279;23.27;23.71;23.45;;
1.914;1914;15283;23.27;23.71;23.45;;
1.917;1917;15286;23.27;23.62;23.45;;
