temps (s);temps (ms);temps;ACTU;MILIEU;LASER
0;0;3026;22.30;22.30;22.03
0.504;504;3530;22.30;22.30;22.03
1.007;1007;4033;22.30;22.30;22.03
1.511;1511;4537;22.30;22.30;22.03
2.014;2014;5040;22.30;22.39;22.03
2.516;2516;5542;22.21;22.39;22.03
3.02;3020;6046;22.30;22.39;22.03
3.523;3523;6549;22.21;22.39;22.12
4.027;4027;7053;22.12;22.39;22.12
4.53;4530;7556;21.95;22.39;22.12
5.032;5032;8058;21.77;22.39;22.12
5.536;5536;8562;21.51;22.39;22.12
6.039;6039;9065;21.33;22.39;22.12
6.543;6543;9569;21.07;22.39;22.12
7.046;7046;10072;20.89;22.39;22.12
7.548;7548;10574;20.72;22.39;22.03
8.052;8052;11078;20.54;22.30;22.12
8.555;8555;11581;20.37;22.30;22.12
9.059;9059;12085;20.19;22.30;22.12
9.562;9562;12588;20.01;22.30;22.03
10.065;10065;13091;19.84;22.30;22.12
10.568;10568;13594;19.66;22.30;22.03
11.072;11072;14098;19.58;22.21;22.03
11.575;11575;14601;19.40;22.21;22.03
12.078;12078;15104;19.23;22.21;22.03
12.581;12581;15607;19.14;22.12;22.03
13.084;13084;16110;19.05;22.12;22.03
13.588;13588;16614;18.88;22.12;22.03
14.091;14091;17117;18.79;22.03;22.12
14.594;14594;17620;18.61;22.03;22.03
15.097;15097;18123;18.53;22.03;22.03
15.601;15601;18627;18.44;21.95;22.03
16.104;16104;19130;18.35;21.95;22.03
16.607;16607;19633;18.26;21.86;22.03
17.11;17110;20136;18.17;21.86;22.03
17.613;17613;20639;18.09;21.86;22.03
18.117;18117;21143;18.00;21.77;22.03
18.62;18620;21646;17.91;21.68;21.95
19.124;19124;22150;17.82;21.68;22.03
19.626;19626;22652;17.74;21.68;22.03
20.13;20130;23156;17.65;21.59;21.95
20.633;20633;23659;17.56;21.59;21.95
21.136;21136;24162;17.47;21.51;21.95
21.64;21640;24666;17.39;21.51;21.95
22.142;22142;25168;17.30;21.42;21.95
22.646;22646;25672;17.21;21.42;21.95
23.149;23149;26175;17.12;21.42;21.95
23.653;23653;26679;17.12;21.33;21.95
24.156;24156;27182;17.03;21.33;21.86
24.659;24659;27685;16.95;21.24;21.86
25.162;25162;28188;16.86;21.24;21.86
25.666;25666;28692;16.77;21.16;21.86
26.169;26169;29195;16.77;21.16;21.86
26.672;26672;29698;16.68;21.07;21.86
27.175;27175;30201;16.59;20.98;21.77
27.678;27678;30704;16.59;20.98;21.77
28.182;28182;31208;16.51;20.98;21.77
28.685;28685;31711;16.42;20.89;21.77
29.189;29189;32215;16.33;20.89;21.77
29.691;29691;32717;16.33;20.89;21.68
30.195;30195;33221;16.24;20.80;21.68
30.698;30698;33724;16.24;20.80;21.68
31.202;31202;34228;16.15;20.72;21.68
31.705;31705;34731;16.07;20.72;21.59
32.207;32207;35233;16.07;20.63;21.59
32.711;32711;35737;15.98;20.63;21.59
33.214;33214;36240;15.89;20.54;21.59
33.718;33718;36744;15.89;20.54;21.51
34.22;34220;37246;15.80;20.45;21.51
34.724;34724;37750;15.71;20.45;21.51
35.227;35227;38253;15.71;20.37;21.42
35.731;35731;38757;15.63;20.37;21.42
36.234;36234;39260;15.63;20.28;21.42
36.736;36736;39762;15.63;20.28;21.42
37.24;37240;40266;15.54;20.19;21.42
37.743;37743;40769;15.45;20.19;21.33
38.247;38247;41273;15.45;20.19;21.33
38.75;38750;41776;15.36;20.10;21.33
39.253;39253;42279;15.36;20.10;21.24
39.756;39756;42782;15.36;20.01;21.24
40.26;40260;43286;15.27;20.01;21.24
40.763;40763;43789;15.27;20.01;21.24
41.266;41266;44292;15.18;19.93;21.16
41.769;41769;44795;15.18;19.84;21.16
42.272;42272;45298;15.10;19.84;21.16
42.776;42776;45802;15.10;19.84;21.07
43.279;43279;46305;15.10;19.84;21.07
43.783;43783;46809;15.01;19.75;21.07
44.285;44285;47311;14.92;19.75;20.98
44.789;44789;47815;14.92;19.66;20.98
45.292;45292;48318;14.92;19.66;20.98
45.796;45796;48822;14.83;19.58;20.89
46.299;46299;49325;14.83;19.58;20.89
46.801;46801;49827;14.74;19.49;20.89
47.305;47305;50331;14.74;19.49;20.80
47.808;47808;50834;14.74;19.49;20.80
48.312;48312;51338;14.65;19.40;20.80
48.815;48815;51841;14.65;19.40;20.80
49.318;49318;52344;14.65;19.40;20.72
49.821;49821;52847;14.65;19.31;20.72
50.324;50324;53350;14.57;19.31;20.72
50.828;50828;53854;14.57;19.23;20.63
51.33;51330;54356;14.57;19.23;20.63
51.834;51834;54860;14.48;19.23;20.63
52.337;52337;55363;14.48;19.14;20.54
52.841;52841;55867;14.48;19.14;20.54
53.344;53344;56370;14.39;19.05;20.54
53.847;53847;56873;14.39;19.05;20.54
54.35;54350;57376;14.39;19.05;20.45
54.853;54853;57879;14.30;18.96;20.45
55.357;55357;58383;14.30;18.96;20.45
55.86;55860;58886;14.30;18.96;20.37
56.363;56363;59389;14.21;18.88;20.37
56.866;56866;59892;14.21;18.88;20.37
57.37;57370;60396;14.21;18.79;20.37
57.873;57873;60899;14.12;18.79;20.28
58.377;58377;61403;14.12;18.79;20.28
58.879;58879;61905;14.12;18.79;20.19
59.382;59382;62408;14.03;18.70;20.19
59.886;59886;62912;14.03;18.70;20.19
60.389;60389;63415;13.94;18.61;20.19
60.893;60893;63919;13.94;18.61;20.10
61.395;61395;64421;13.86;18.61;20.10
61.899;61899;64925;13.86;18.61;20.10
62.402;62402;65428;13.86;18.53;20.01
62.905;62905;65931;13.77;18.53;20.01
63.409;63409;66435;13.77;18.44;20.01
63.911;63911;66937;13.68;18.44;19.93
64.415;64415;67441;13.68;18.44;19.93
64.918;64918;67944;13.68;18.35;19.93
65.422;65422;68448;13.59;18.35;19.84
65.925;65925;68951;13.59;18.35;19.84
66.427;66427;69453;13.59;18.26;19.84
66.931;66931;69957;13.50;18.26;19.75
67.434;67434;70460;13.50;18.26;19.75
67.938;67938;70964;13.50;18.17;19.75
68.441;68441;71467;13.41;18.17;19.75
68.944;68944;71970;13.41;18.17;19.66
69.447;69447;72473;13.32;18.09;19.66
69.951;69951;72977;13.32;18.09;19.66
70.454;70454;73480;13.32;18.00;19.58
70.956;70956;73982;13.23;18.00;19.58
71.46;71460;74486;13.23;18.00;19.58
71.963;71963;74989;13.23;17.91;19.49
72.467;72467;75493;13.23;17.91;19.49
72.97;72970;75996;13.23;17.91;19.49
73.473;73473;76499;13.14;17.91;19.49
73.976;73976;77002;13.14;17.91;19.40
74.48;74480;77506;13.14;17.82;19.31
74.983;74983;78009;13.05;17.82;19.31
75.486;75486;78512;13.05;17.82;19.31
75.989;75989;79015;13.05;17.74;19.31
76.492;76492;79518;13.05;17.74;19.23
76.996;76996;80022;13.05;17.65;19.23
77.499;77499;80525;12.96;17.65;19.23
78.003;78003;81029;12.96;17.65;19.23
78.505;78505;81531;12.96;17.56;19.14
79.008;79008;82034;12.87;17.56;19.14
79.512;79512;82538;12.87;17.56;19.14
80.015;80015;83041;12.87;17.56;19.05
80.519;80519;83545;12.87;17.56;19.05
81.021;81021;84047;12.87;17.47;19.05
81.525;81525;84551;12.87;17.47;18.96
82.028;82028;85054;12.78;17.39;18.96
82.532;82532;85558;12.78;17.39;18.96
