temps (s);temps (ms);temps;ACTU;T2;LASER
0.489;489;18690;23.53;23.45;23.18
0.493;493;18694;23.53;23.45;23.18
0.496;496;18697;23.53;23.45;23.09
0.499;499;18700;23.53;23.36;23.18
0.502;502;18703;23.53;23.45;23.18
0.505;505;18706;23.53;23.45;23.18
0.508;508;18709;23.53;23.45;23.18
0.511;511;18712;23.53;23.45;23.18
0.515;515;18716;23.53;23.45;23.18
0.518;518;18719;23.53;23.45;23.18
0.521;521;18722;23.53;23.45;23.18
0.524;524;18725;23.53;23.45;23.18
0.527;527;18728;23.53;23.45;23.18
0.531;531;18732;23.53;23.45;23.18
0.535;535;18736;23.53;23.45;23.09
0.538;538;18739;23.53;23.45;23.18
0.541;541;18742;23.53;23.45;23.18
0.544;544;18745;23.53;23.45;23.09
0.547;547;18748;23.53;23.45;23.18
0.55;550;18751;23.53;23.45;23.09
0.553;553;18754;23.53;23.45;23.18
0.557;557;18758;23.53;23.45;23.18
0.56;560;18761;23.53;23.45;23.18
0.563;563;18764;23.53;23.45;23.18
0.566;566;18767;23.53;23.45;23.18
0.569;569;18770;23.53;23.45;23.18
0.573;573;18774;23.53;23.45;23.18
0.577;577;18778;23.53;23.45;23.18
0.58;580;18781;23.53;23.45;23.09
0.583;583;18784;23.53;23.45;23.18
0.586;586;18787;23.53;23.45;23.18
0.589;589;18790;23.53;23.45;23.18
0.592;592;18793;23.53;23.45;23.18
0.596;596;18797;23.53;23.45;23.18
0.599;599;18800;23.53;23.45;23.18
0.602;602;18803;23.53;23.45;23.18
0.605;605;18806;23.53;23.45;23.18
0.608;608;18809;23.53;23.45;23.18
0.611;611;18812;23.53;23.45;23.18
0.615;615;18816;23.53;23.45;23.18
0.619;619;18820;23.53;23.45;23.18
0.622;622;18823;23.53;23.36;23.18
0.625;625;18826;23.53;23.45;23.18
0.628;628;18829;23.53;23.45;23.18
0.631;631;18832;23.53;23.45;23.18
0.634;634;18835;23.53;23.45;23.18
0.638;638;18839;23.53;23.45;23.18
0.641;641;18842;23.53;23.45;23.18
0.644;644;18845;23.53;23.45;23.18
0.647;647;18848;23.53;23.45;23.09
0.65;650;18851;23.53;23.45;23.18
0.653;653;18854;23.62;23.45;23.18
0.656;656;18857;23.62;23.45;23.18
0.661;661;18862;23.53;23.45;23.18
0.664;664;18865;23.53;23.45;23.18
0.667;667;18868;23.53;23.45;23.18
0.67;670;18871;23.53;23.45;23.18
0.673;673;18874;23.53;23.45;23.18
0.677;677;18878;23.53;23.45;23.18
0.68;680;18881;23.53;23.45;23.18
0.683;683;18884;23.53;23.45;23.18
0.686;686;18887;23.53;23.45;23.18
0.689;689;18890;23.53;23.45;23.18
0.692;692;18893;23.53;23.45;23.09
0.695;695;18896;23.62;23.45;23.18
0.699;699;18900;23.53;23.45;23.09
0.703;703;18904;23.53;23.45;23.18
0.706;706;18907;23.53;23.45;23.18
0.709;709;18910;23.53;23.45;23.18
0.712;712;18913;23.53;23.45;23.18
0.715;715;18916;23.53;23.36;23.18
0.719;719;18920;23.53;23.45;23.18
0.722;722;18923;23.62;23.45;23.18
0.725;725;18926;23.53;23.45;23.18
0.728;728;18929;23.62;23.45;23.18
0.731;731;18932;23.53;23.45;23.18
0.734;734;18935;23.62;23.45;23.18
0.737;737;18938;23.53;23.36;23.18
0.741;741;18942;23.53;23.45;23.18
0.745;745;18946;23.62;23.45;23.18
0.748;748;18949;23.62;23.45;23.09
0.751;751;18952;23.53;23.45;23.18
0.754;754;18955;23.62;23.45;23.18
0.757;757;18958;23.53;23.45;23.18
0.761;761;18962;23.62;23.45;23.18
0.764;764;18965;23.62;23.45;23.18
0.767;767;18968;23.53;23.36;23.18
0.77;770;18971;23.62;23.45;23.18
0.773;773;18974;23.62;23.45;23.18
0.776;776;18977;23.53;23.45;23.18
0.78;780;18981;23.62;23.45;23.18
0.783;783;18984;23.62;23.45;23.18
0.787;787;18988;23.62;23.45;23.18
0.79;790;18991;23.62;23.45;23.18
0.793;793;18994;23.62;23.45;23.18
0.796;796;18997;23.62;23.45;23.18
0.8;800;19001;23.62;23.45;23.18
0.803;803;19004;23.62;23.45;23.18
0.806;806;19007;23.62;23.45;23.18
0.809;809;19010;23.62;23.45;23.18
0.812;812;19013;23.53;23.45;23.18
0.815;815;19016;23.62;23.45;23.18
0.818;818;19019;23.62;23.45;23.18
0.822;822;19023;23.62;23.45;23.18
0.825;825;19026;23.62;23.45;23.18
0.829;829;19030;23.62;23.45;23.18
0.832;832;19033;23.62;23.45;23.18
0.835;835;19036;23.62;23.45;23.18
0.838;838;19039;23.62;23.45;23.18
0.842;842;19043;23.62;23.45;23.18
0.845;845;19046;23.62;23.45;23.18
0.848;848;19049;23.62;23.45;23.18
0.851;851;19052;23.62;23.45;23.18
0.854;854;19055;23.62;23.45;23.18
0.857;857;19058;23.62;23.45;23.18
0.86;860;19061;23.62;23.45;23.18
0.864;864;19065;23.53;23.45;23.18
0.867;867;19068;23.62;23.45;23.18
0.871;871;19072;23.62;23.45;23.18
0.874;874;19075;23.62;23.45;23.18
0.877;877;19078;23.62;23.45;23.18
0.881;881;19082;23.62;23.45;23.18
0.884;884;19085;23.62;23.45;23.18
0.887;887;19088;23.62;23.45;23.18
0.89;890;19091;23.62;23.45;23.18
0.893;893;19094;23.62;23.45;23.18
0.896;896;19097;23.53;23.45;23.18
0.899;899;19100;23.62;23.45;23.18
0.903;903;19104;23.62;23.45;23.18
0.906;906;19107;23.62;23.45;23.18
0.909;909;19110;23.62;23.45;23.18
0.912;912;19113;23.62;23.45;23.18
0.916;916;19117;23.62;23.45;23.18
0.919;919;19120;23.62;23.45;23.18
0.923;923;19124;23.53;23.45;23.18
0.926;926;19127;23.62;23.45;23.18
0.929;929;19130;23.62;23.45;23.18
0.932;932;19133;23.62;23.45;23.18
0.935;935;19136;23.62;23.45;23.18
0.938;938;19139;23.62;23.45;23.18
0.941;941;19142;23.53;23.36;23.18
0.945;945;19146;23.62;23.45;23.18
0.948;948;19149;23.62;23.45;23.18
0.951;951;19152;23.62;23.45;23.18
0.954;954;19155;23.62;23.45;23.18
0.958;958;19159;23.62;23.45;23.18
0.961;961;19162;23.62;23.45;23.18
0.965;965;19166;23.62;23.45;23.18
0.968;968;19169;23.62;23.45;23.18
0.971;971;19172;23.62;23.45;23.18
0.974;974;19175;23.62;23.45;23.18
0.977;977;19178;23.62;23.45;23.18
0.98;980;19181;23.62;23.45;23.18
0.984;984;19185;23.62;23.45;23.18
0.987;987;19188;23.62;23.45;23.18
0.99;990;19191;23.62;23.45;23.18
0.993;993;19194;23.62;23.45;23.18
0.996;996;19197;23.62;23.45;23.18
1;1000;19201;23.62;23.45;23.18
1.004;1004;19205;23.62;23.45;23.18
1.007;1007;19208;23.62;23.45;23.18
1.01;1010;19211;23.62;23.45;23.18
1.013;1013;19214;23.62;23.45;23.18
1.016;1016;19217;23.62;23.45;23.18
1.019;1019;19220;23.62;23.45;23.18
1.022;1022;19223;23.62;23.45;23.18
1.026;1026;19227;23.62;23.45;23.18
1.029;1029;19230;23.62;23.45;23.18
1.032;1032;19233;23.62;23.45;23.18
1.035;1035;19236;23.62;23.45;23.18
1.038;1038;19239;23.71;23.45;23.18
1.042;1042;19243;23.62;23.45;23.18
1.046;1046;19247;23.62;23.45;23.18
1.049;1049;19250;23.62;23.45;23.18
1.052;1052;19253;23.71;23.45;23.18
1.055;1055;19256;23.62;23.45;23.18
1.058;1058;19259;23.62;23.45;23.18
1.061;1061;19262;23.62;23.45;23.18
1.064;1064;19265;23.62;23.45;23.18
1.068;1068;19269;23.62;23.45;23.18
1.071;1071;19272;23.71;23.45;23.18
1.074;1074;19275;23.62;23.45;23.18
1.077;1077;19278;23.62;23.45;23.18
1.08;1080;19281;23.62;23.45;23.18
1.083;1083;19284;23.62;23.45;23.18
1.088;1088;19289;23.62;23.45;23.18
1.091;1091;19292;23.62;23.45;23.18
1.094;1094;19295;23.71;23.45;23.18
1.097;1097;19298;23.62;23.45;23.18
1.1;1100;19301;23.62;23.45;23.18
1.103;1103;19304;23.71;23.45;23.18
1.106;1106;19307;23.62;23.45;23.18
1.11;1110;19311;23.62;23.45;23.18
1.113;1113;19314;23.62;23.45;23.18
1.116;1116;19317;23.62;23.45;23.18
1.119;1119;19320;23.71;23.45;23.18
1.122;1122;19323;23.62;23.45;23.18
1.125;1125;19326;23.71;23.45;23.18
1.13;1130;19331;23.62;23.45;23.18
1.133;1133;19334;23.62;23.45;23.18
1.136;1136;19337;23.62;23.45;23.18
1.139;1139;19340;23.71;23.45;23.18
1.142;1142;19343;23.62;23.45;23.18
1.145;1145;19346;23.71;23.45;23.18
1.148;1148;19349;23.62;23.45;23.18
1.152;1152;19353;23.62;23.45;23.18
1.155;1155;19356;23.62;23.45;23.09
1.158;1158;19359;23.71;23.45;23.18
1.161;1161;19362;23.62;23.45;23.18
1.164;1164;19365;23.62;23.45;23.18
1.167;1167;19368;23.62;23.45;23.18
1.172;1172;19373;23.71;23.36;23.18
1.175;1175;19376;23.62;23.45;23.18
1.178;1178;19379;23.71;23.45;23.18
1.181;1181;19382;23.62;23.45;23.18
1.184;1184;19385;23.71;23.45;23.18
1.187;1187;19388;23.71;23.45;23.18
1.191;1191;19392;23.62;23.45;23.18
1.194;1194;19395;23.62;23.45;23.18
1.197;1197;19398;23.71;23.45;23.18
1.2;1200;19401;23.71;23.45;23.18
1.203;1203;19404;23.71;23.45;23.18
1.206;1206;19407;23.71;23.36;23.09
1.209;1209;19410;23.62;23.36;23.18
1.214;1214;19415;23.71;23.45;23.18
1.217;1217;19418;23.71;23.45;23.18
1.22;1220;19421;23.71;23.45;23.18
1.223;1223;19424;23.71;23.45;23.18
1.226;1226;19427;23.62;23.45;23.18
1.229;1229;19430;23.71;23.45;23.18
1.233;1233;19434;23.62;23.45;23.18
1.236;1236;19437;23.71;23.45;23.18
1.239;1239;19440;23.62;23.45;23.18
1.242;1242;19443;23.71;23.45;23.18
1.245;1245;19446;23.71;23.45;23.18
1.248;1248;19449;23.71;23.45;23.18
1.251;1251;19452;23.71;23.45;23.18
1.256;1256;19457;23.71;23.45;23.09
1.259;1259;19460;23.62;23.45;23.18
1.262;1262;19463;23.62;23.45;23.18
1.265;1265;19466;23.71;23.45;23.18
1.268;1268;19469;23.71;23.45;23.18
1.271;1271;19472;23.62;23.45;23.18
1.274;1274;19475;23.71;23.45;23.18
1.278;1278;19479;23.71;23.45;23.18
1.281;1281;19482;23.71;23.45;23.18
1.284;1284;19485;23.71;23.45;23.18
1.287;1287;19488;23.71;23.45;23.18
1.29;1290;19491;23.71;23.45;23.18
1.293;1293;19494;23.71;23.45;23.18
