temps (s);temps (ms);temps;ACTU;T2;LASER
99.363;99363;117564;28.84;26.57;25.49
99.367;99367;117568;28.84;26.57;25.49
99.37;99370;117571;28.84;26.57;25.40
99.373;99373;117574;28.84;26.66;25.49
99.376;99376;117577;28.84;26.57;25.49
99.379;99379;117580;28.84;26.66;25.40
99.383;99383;117584;28.84;26.57;25.49
99.386;99386;117587;28.84;26.66;25.49
99.39;99390;117591;28.84;26.57;25.49
99.393;99393;117594;28.84;26.66;25.40
99.397;99397;117598;28.84;26.66;25.40
99.4;99400;117601;28.84;26.57;25.49
99.403;99403;117604;28.84;26.66;25.49
99.406;99406;117607;28.84;26.66;25.49
99.409;99409;117610;28.84;26.66;25.40
99.413;99413;117614;28.84;26.66;25.49
99.416;99416;117617;28.84;26.66;25.49
99.419;99419;117620;28.84;26.66;25.40
99.422;99422;117623;28.84;26.66;25.40
99.426;99426;117627;28.84;26.57;25.49
99.429;99429;117630;28.84;26.66;25.49
99.433;99433;117634;28.84;26.66;25.40
99.436;99436;117637;28.84;26.66;25.40
99.44;99440;117641;28.84;26.66;25.40
99.443;99443;117644;28.84;26.66;25.40
99.446;99446;117647;28.84;26.57;25.49
99.449;99449;117650;28.84;26.66;25.40
99.452;99452;117653;28.84;26.57;25.49
99.456;99456;117657;28.84;26.66;25.49
99.459;99459;117660;28.84;26.57;25.49
99.462;99462;117663;28.84;26.66;25.40
99.465;99465;117666;28.84;26.66;25.49
99.468;99468;117669;28.84;26.66;25.49
99.472;99472;117673;28.84;26.57;25.49
99.476;99476;117677;28.84;26.57;25.49
99.479;99479;117680;28.84;26.66;25.40
99.482;99482;117683;28.84;26.66;25.49
99.486;99486;117687;28.84;26.66;25.49
99.489;99489;117690;28.84;26.66;25.49
99.492;99492;117693;28.84;26.66;25.49
99.495;99495;117696;28.84;26.66;25.40
99.498;99498;117699;28.84;26.66;25.49
99.502;99502;117703;28.84;26.66;25.40
99.505;99505;117706;28.84;26.66;25.49
99.508;99508;117709;28.84;26.66;25.49
99.511;99511;117712;28.84;26.66;25.40
99.515;99515;117716;28.84;26.66;25.49
99.519;99519;117720;28.84;26.57;25.40
99.522;99522;117723;28.84;26.57;25.49
99.525;99525;117726;28.84;26.66;25.49
99.528;99528;117729;28.84;26.57;25.49
99.532;99532;117733;28.84;26.66;25.49
99.535;99535;117736;28.84;26.57;25.49
99.538;99538;117739;28.84;26.66;25.40
99.541;99541;117742;28.84;26.66;25.49
99.545;99545;117746;28.84;26.57;25.40
99.548;99548;117749;28.84;26.57;25.49
99.551;99551;117752;28.84;26.66;25.40
99.554;99554;117755;28.84;26.57;25.49
99.557;99557;117758;28.84;26.66;25.49
99.562;99562;117763;28.84;26.57;25.49
99.565;99565;117766;28.84;26.66;25.49
99.568;99568;117769;28.84;26.66;25.40
99.571;99571;117772;28.84;26.66;25.49
99.575;99575;117776;28.84;26.66;25.49
99.578;99578;117779;28.84;26.66;25.49
99.581;99581;117782;28.84;26.57;25.49
99.584;99584;117785;28.84;26.66;25.49
99.587;99587;117788;28.84;26.66;25.49
99.591;99591;117792;28.84;26.57;25.49
99.594;99594;117795;28.84;26.66;25.49
99.597;99597;117798;28.84;26.57;25.49
99.6;99600;117801;28.84;26.66;25.40
99.605;99605;117806;28.84;26.66;25.49
99.608;99608;117809;28.84;26.66;25.40
99.611;99611;117812;28.84;26.66;25.49
99.614;99614;117815;28.84;26.57;25.40
99.617;99617;117818;28.84;26.66;25.49
99.621;99621;117822;28.84;26.66;25.49
99.624;99624;117825;28.84;26.66;25.49
99.627;99627;117828;28.84;26.66;25.49
99.63;99630;117831;28.84;26.66;25.49
99.634;99634;117835;28.84;26.66;25.49
99.637;99637;117838;28.84;26.66;25.49
99.64;99640;117841;28.84;26.66;25.49
99.643;99643;117844;28.84;26.66;25.40
99.648;99648;117849;28.84;26.57;25.49
99.651;99651;117852;28.84;26.57;25.49
99.654;99654;117855;28.84;26.57;25.49
99.657;99657;117858;28.84;26.66;25.49
99.66;99660;117861;28.84;26.66;25.49
99.664;99664;117865;28.84;26.57;25.49
99.667;99667;117868;28.84;26.66;25.49
99.67;99670;117871;28.84;26.57;25.49
99.673;99673;117874;28.84;26.66;25.49
99.676;99676;117877;28.84;26.66;25.49
99.68;99680;117881;28.84;26.66;25.49
99.683;99683;117884;28.84;26.57;25.49
99.687;99687;117888;28.84;26.57;25.49
99.69;99690;117891;28.84;26.66;25.49
99.694;99694;117895;28.84;26.66;25.40
99.697;99697;117898;28.84;26.66;25.49
99.7;99700;117901;28.84;26.66;25.49
99.703;99703;117904;28.84;26.66;25.49
99.707;99707;117908;28.84;26.57;25.49
99.71;99710;117911;28.84;26.57;25.49
99.713;99713;117914;28.84;26.66;25.49
99.716;99716;117917;28.84;26.57;25.49
99.719;99719;117920;28.84;26.66;25.40
99.723;99723;117924;28.84;26.66;25.49
99.726;99726;117927;28.84;26.57;25.49
99.73;99730;117931;28.84;26.57;25.49
99.733;99733;117934;28.84;26.66;25.49
99.737;99737;117938;28.84;26.66;25.49
99.74;99740;117941;28.84;26.66;25.49
99.743;99743;117944;28.84;26.66;25.49
99.746;99746;117947;28.84;26.66;25.49
99.749;99749;117950;28.84;26.66;25.49
99.753;99753;117954;28.84;26.66;25.49
99.756;99756;117957;28.84;26.57;25.40
99.759;99759;117960;28.84;26.66;25.49
99.762;99762;117963;28.84;26.66;25.49
99.765;99765;117966;28.84;26.57;25.49
99.769;99769;117970;28.84;26.66;25.49
99.773;99773;117974;28.84;26.66;25.49
99.776;99776;117977;28.84;26.66;25.49
99.779;99779;117980;28.84;26.57;25.49
99.783;99783;117984;28.84;26.66;25.49
99.786;99786;117987;28.84;26.66;25.49
99.789;99789;117990;28.84;26.66;25.49
99.792;99792;117993;28.84;26.66;25.49
99.796;99796;117997;28.84;26.66;25.49
99.799;99799;118000;28.84;26.57;25.49
99.802;99802;118003;28.75;26.66;25.49
99.805;99805;118006;28.84;26.66;25.49
99.808;99808;118009;28.84;26.66;25.49
99.812;99812;118013;28.84;26.66;25.49
99.816;99816;118017;28.84;26.66;25.49
99.819;99819;118020;28.84;26.66;25.40
99.822;99822;118023;28.84;26.57;25.49
99.826;99826;118027;28.84;26.66;25.49
99.829;99829;118030;28.84;26.66;25.49
99.832;99832;118033;28.84;26.66;25.40
99.835;99835;118036;28.84;26.66;25.49
99.838;99838;118039;28.84;26.66;25.49
99.842;99842;118043;28.84;26.66;25.49
99.845;99845;118046;28.84;26.66;25.49
99.848;99848;118049;28.84;26.57;25.49
99.851;99851;118052;28.84;26.66;25.49
99.854;99854;118055;28.84;26.66;25.49
99.859;99859;118060;28.84;26.66;25.49
99.862;99862;118063;28.84;26.66;25.49
99.865;99865;118066;28.84;26.66;25.49
99.868;99868;118069;28.84;26.57;25.49
99.872;99872;118073;28.84;26.66;25.49
99.875;99875;118076;28.84;26.57;25.49
99.878;99878;118079;28.84;26.66;25.49
99.881;99881;118082;28.93;26.66;25.49
99.885;99885;118086;28.84;26.66;25.49
99.888;99888;118089;28.84;26.66;25.49
99.891;99891;118092;28.84;26.66;25.49
99.894;99894;118095;28.84;26.66;25.49
99.897;99897;118098;28.84;26.66;25.49
99.902;99902;118103;28.84;26.66;25.49
99.905;99905;118106;28.84;26.66;25.49
99.908;99908;118109;28.84;26.57;25.49
99.911;99911;118112;28.84;26.66;25.49
99.915;99915;118116;28.84;26.66;25.49
99.918;99918;118119;28.84;26.66;25.49
99.921;99921;118122;28.84;26.66;25.49
99.924;99924;118125;28.84;26.66;25.49
99.927;99927;118128;28.84;26.66;25.49
99.931;99931;118132;28.84;26.57;25.49
99.934;99934;118135;28.93;26.66;25.49
99.937;99937;118138;28.93;26.66;25.49
99.94;99940;118141;28.84;26.66;25.49
99.945;99945;118146;28.84;26.66;25.49
99.948;99948;118149;28.84;26.66;25.49
99.951;99951;118152;28.84;26.66;25.49
99.954;99954;118155;28.84;26.66;25.49
99.958;99958;118159;28.84;26.66;25.49
99.961;99961;118162;28.84;26.66;25.49
99.964;99964;118165;28.84;26.66;25.49
99.967;99967;118168;28.84;26.66;25.49
99.97;99970;118171;28.84;26.57;25.49
99.974;99974;118175;28.84;26.66;25.49
99.977;99977;118178;28.84;26.57;25.49
99.98;99980;118181;28.84;26.66;25.49
99.983;99983;118184;28.84;26.66;25.49
99.988;99988;118189;28.84;26.57;25.49
99.991;99991;118192;28.84;26.66;25.49
99.994;99994;118195;28.84;26.66;25.49
99.997;99997;118198;28.84;26.66;25.49
100;100000;118201;28.84;26.66;25.49
100.004;100004;118205;28.84;26.66;25.49
100.007;100007;118208;28.84;26.66;25.49
100.01;100010;118211;28.84;26.66;25.49
100.013;100013;118214;28.84;26.66;25.49
100.017;100017;118218;28.84;26.66;25.49
100.02;100020;118221;28.84;26.66;25.49
100.023;100023;118224;28.84;26.66;25.49
100.026;100026;118227;28.84;26.66;25.49
100.03;100030;118231;28.84;26.66;25.49
100.034;100034;118235;28.84;26.66;25.49
100.037;100037;118238;28.84;26.66;25.49
100.04;100040;118241;28.84;26.66;25.49
100.043;100043;118244;28.84;26.66;25.40
100.047;100047;118248;28.84;26.66;25.49
100.05;100050;118251;28.84;26.66;25.49
100.053;100053;118254;28.84;26.66;25.49
100.056;100056;118257;28.84;26.66;25.49
100.059;100059;118260;28.84;26.66;25.49
100.063;100063;118264;28.84;26.66;25.49
100.066;100066;118267;28.84;26.66;25.49
100.069;100069;118270;28.84;26.66;25.49
100.073;100073;118274;28.84;26.66;25.49
100.077;100077;118278;28.84;26.66;25.49
100.08;100080;118281;28.84;26.66;25.40
100.083;100083;118284;28.84;26.66;25.49
100.086;100086;118287;28.84;26.66;25.49
100.09;100090;118291;28.84;26.66;25.49
100.093;100093;118294;28.93;26.66;25.49
100.096;100096;118297;28.84;26.66;25.49
100.099;100099;118300;28.84;26.66;25.49
100.102;100102;118303;28.84;26.66;25.49
100.106;100106;118307;28.84;26.66;25.49
100.109;100109;118310;28.84;26.66;25.49
100.112;100112;118313;28.84;26.66;25.49
100.116;100116;118317;28.84;26.66;25.49
100.12;100120;118321;28.84;26.66;25.49
100.123;100123;118324;28.84;26.57;25.49
100.126;100126;118327;28.84;26.66;25.49
100.129;100129;118330;28.84;26.57;25.49
100.132;100132;118333;28.84;26.66;25.49
100.136;100136;118337;28.84;26.66;25.40
100.139;100139;118340;28.84;26.66;25.49
100.142;100142;118343;28.84;26.66;25.49
100.145;100145;118346;28.84;26.66;25.49
100.148;100148;118349;28.93;26.66;25.49
100.152;100152;118353;28.84;26.66;25.49
100.155;100155;118356;28.84;26.66;25.49
100.159;100159;118360;28.84;26.66;25.49
100.162;100162;118363;28.84;26.66;25.49
100.166;100166;118367;28.84;26.66;25.49
100.169;100169;118370;28.84;26.66;25.49
100.172;100172;118373;28.93;26.66;25.49
100.175;100175;118376;28.84;26.66;25.49
100.179;100179;118380;28.84;26.66;25.49
100.182;100182;118383;28.84;26.66;25.49
100.185;100185;118386;28.84;26.57;25.40
100.188;100188;118389;28.84;26.66;25.49
100.191;100191;118392;28.84;26.66;25.49
100.195;100195;118396;28.84;26.66;25.49
100.199;100199;118400;28.84;26.57;25.49
100.202;100202;118403;28.84;26.66;25.49
100.205;100205;118406;28.93;26.66;25.49
100.209;100209;118410;28.84;26.57;25.49
100.212;100212;118413;28.84;26.66;25.49
100.215;100215;118416;28.84;26.66;25.40
100.218;100218;118419;28.84;26.66;25.49
100.221;100221;118422;28.84;26.57;25.49
100.225;100225;118426;28.84;26.66;25.49
100.228;100228;118429;28.84;26.66;25.49
100.231;100231;118432;28.84;26.66;25.49
100.234;100234;118435;28.84;26.66;25.49
100.237;100237;118438;28.84;26.66;25.49
100.242;100242;118443;28.84;26.66;25.49
100.245;100245;118446;28.93;26.66;25.49
100.248;100248;118449;28.84;26.66;25.49
100.251;100251;118452;28.84;26.66;25.49
100.255;100255;118456;28.84;26.66;25.49
100.258;100258;118459;28.84;26.57;25.49
100.261;100261;118462;28.84;26.66;25.49
100.264;100264;118465;28.84;26.66;25.49
100.268;100268;118469;28.93;26.66;25.49
100.271;100271;118472;28.84;26.57;25.49
100.274;100274;118475;28.84;26.66;25.49
100.277;100277;118478;28.84;26.66;25.49
100.28;100280;118481;28.84;26.57;25.49
100.285;100285;118486;28.84;26.66;25.40
100.288;100288;118489;28.84;26.66;25.49
100.291;100291;118492;28.84;26.66;25.49
100.294;100294;118495;28.84;26.66;25.49
100.298;100298;118499;28.93;26.66;25.49
100.301;100301;118502;28.84;26.66;25.49
100.304;100304;118505;28.84;26.57;25.49
100.307;100307;118508;28.84;26.66;25.49
100.31;100310;118511;28.84;26.66;25.49
100.314;100314;118515;28.84;26.66;25.49
100.317;100317;118518;28.84;26.66;25.49
100.32;100320;118521;28.84;26.66;25.49
100.323;100323;118524;28.84;26.66;25.49
100.328;100328;118529;28.84;26.66;25.49
100.331;100331;118532;28.84;26.66;25.49
100.334;100334;118535;28.84;26.66;25.49
100.337;100337;118538;28.84;26.66;25.49
100.341;100341;118542;28.84;26.57;25.49
100.344;100344;118545;28.84;26.66;25.49
100.347;100347;118548;28.84;26.66;25.49
100.35;100350;118551;28.84;26.66;25.49
100.353;100353;118554;28.84;26.66;25.49
100.357;100357;118558;28.84;26.66;25.49
100.36;100360;118561;28.84;26.66;25.49
100.363;100363;118564;28.84;26.66;25.49
100.366;100366;118567;28.84;26.66;25.49
100.37;100370;118571;28.93;26.66;25.49
100.374;100374;118575;28.84;26.66;25.49
100.377;100377;118578;28.84;26.66;25.49
100.38;100380;118581;28.93;26.66;25.49
100.383;100383;118584;28.84;26.66;25.49
100.387;100387;118588;28.84;26.66;25.49
100.39;100390;118591;28.84;26.66;25.49
100.393;100393;118594;28.84;26.66;25.49
100.396;100396;118597;28.84;26.57;25.49
100.4;100400;118601;28.84;26.66;25.49
100.403;100403;118604;28.84;26.66;25.49
100.406;100406;118607;28.84;26.66;25.49
100.409;100409;118610;28.84;26.66;25.49
100.413;100413;118614;28.84;26.66;25.49
100.417;100417;118618;28.93;26.66;25.49
100.42;100420;118621;28.84;26.66;25.49
100.423;100423;118624;28.84;26.66;25.49
100.426;100426;118627;28.84;26.66;25.49
100.43;100430;118631;28.84;26.66;25.49
100.433;100433;118634;28.93;26.66;25.49
100.436;100436;118637;28.84;26.66;25.49
100.439;100439;118640;28.84;26.66;25.49
100.442;100442;118643;28.84;26.66;25.49
100.446;100446;118647;28.84;26.66;25.49
100.449;100449;118650;28.84;26.66;25.49
100.452;100452;118653;28.84;26.66;25.49
100.456;100456;118657;28.93;26.66;25.49
100.46;100460;118661;28.84;26.66;25.49
100.463;100463;118664;28.84;26.66;25.49
100.466;100466;118667;28.84;26.66;25.49
100.469;100469;118670;28.84;26.66;25.49
100.473;100473;118674;28.93;26.66;25.49
100.476;100476;118677;28.84;26.66;25.49
100.479;100479;118680;28.93;26.66;25.49
100.482;100482;118683;28.84;26.66;25.49
100.485;100485;118686;28.84;26.66;25.49
100.489;100489;118690;28.93;26.66;25.49
100.492;100492;118693;28.84;26.66;25.49
100.495;100495;118696;28.84;26.66;25.49
100.499;100499;118700;28.84;26.66;25.49
100.503;100503;118704;28.84;26.66;25.49
100.506;100506;118707;28.93;26.66;25.49
100.509;100509;118710;28.84;26.66;25.49
100.512;100512;118713;28.93;26.66;25.49
100.515;100515;118716;28.84;26.66;25.49
100.519;100519;118720;28.93;26.66;25.40
100.522;100522;118723;28.84;26.66;25.49
100.525;100525;118726;28.84;26.66;25.49
100.528;100528;118729;28.84;26.66;25.49
100.532;100532;118733;28.84;26.66;25.49
100.535;100535;118736;28.84;26.66;25.49
100.538;100538;118739;28.84;26.66;25.49
100.542;100542;118743;28.84;26.66;25.49
100.546;100546;118747;28.93;26.66;25.49
100.549;100549;118750;28.84;26.66;25.49
100.552;100552;118753;28.84;26.66;25.40
100.555;100555;118756;28.84;26.66;25.49
100.558;100558;118759;28.84;26.66;25.49
100.562;100562;118763;28.93;26.66;25.49
100.565;100565;118766;28.84;26.66;25.49
100.568;100568;118769;28.93;26.66;25.49
100.571;100571;118772;28.93;26.66;25.49
100.574;100574;118775;28.84;26.66;25.49
100.578;100578;118779;28.84;26.57;25.49
100.581;100581;118782;28.84;26.66;25.49
100.585;100585;118786;28.84;26.66;25.49
100.588;100588;118789;28.84;26.66;25.49
100.592;100592;118793;28.84;26.66;25.49
100.595;100595;118796;28.84;26.66;25.49
100.598;100598;118799;28.84;26.66;25.49
100.601;100601;118802;28.93;26.66;25.49
100.604;100604;118805;28.84;26.66;25.49
100.608;100608;118809;28.84;26.66;25.49
100.611;100611;118812;28.84;26.66;25.49
100.614;100614;118815;28.84;26.66;25.49
100.617;100617;118818;28.84;26.66;25.49
100.621;100621;118822;28.93;26.66;25.49
100.624;100624;118825;28.84;26.66;25.49
100.628;100628;118829;28.93;26.66;25.49
100.631;100631;118832;28.93;26.66;25.49
100.635;100635;118836;28.93;26.66;25.49
100.638;100638;118839;28.84;26.66;25.49
100.641;100641;118842;28.93;26.66;25.49
100.644;100644;118845;28.84;26.66;25.49
100.647;100647;118848;28.93;26.66;25.49
100.651;100651;118852;28.84;26.66;25.49
100.654;100654;118855;28.93;26.66;25.49
100.657;100657;118858;28.84;26.66;25.49
100.66;100660;118861;28.93;26.66;25.49
100.664;100664;118865;28.93;26.66;25.49
100.667;100667;118868;28.93;26.66;25.49
100.671;100671;118872;28.93;26.66;25.49
100.674;100674;118875;28.84;26.66;25.49
100.678;100678;118879;28.84;26.66;25.49
100.681;100681;118882;28.84;26.66;25.49
100.684;100684;118885;28.93;26.66;25.49
100.687;100687;118888;28.84;26.66;25.49
100.69;100690;118891;28.84;26.57;25.49
100.694;100694;118895;28.84;26.66;25.49
100.697;100697;118898;28.84;26.66;25.49
100.7;100700;118901;28.84;26.66;25.49
100.703;100703;118904;28.84;26.66;25.49
100.706;100706;118907;28.84;26.66;25.49
100.711;100711;118912;28.93;26.66;25.49
100.714;100714;118915;28.84;26.66;25.49
100.717;100717;118918;28.84;26.66;25.49
100.72;100720;118921;28.84;26.66;25.49
100.724;100724;118925;28.84;26.66;25.49
100.727;100727;118928;28.84;26.66;25.49
100.73;100730;118931;28.93;26.66;25.49
100.733;100733;118934;28.84;26.66;25.49
100.736;100736;118937;28.93;26.66;25.49
100.74;100740;118941;28.84;26.66;25.49
100.743;100743;118944;28.84;26.66;25.49
100.746;100746;118947;28.84;26.66;25.49
100.749;100749;118950;28.84;26.66;25.49
100.754;100754;118955;28.84;26.66;25.49
100.757;100757;118958;28.93;26.66;25.49
100.76;100760;118961;28.93;26.66;25.49
100.763;100763;118964;28.84;26.66;25.49
100.767;100767;118968;28.93;26.66;25.49
100.77;100770;118971;28.93;26.66;25.49
100.773;100773;118974;28.93;26.57;25.49
100.776;100776;118977;28.84;26.66;25.49
100.779;100779;118980;28.84;26.66;25.49
100.783;100783;118984;28.93;26.66;25.49
100.786;100786;118987;28.84;26.66;25.49
100.789;100789;118990;28.84;26.66;25.49
100.792;100792;118993;28.84;26.66;25.49
100.797;100797;118998;28.84;26.66;25.49
100.8;100800;119001;28.93;26.66;25.49
100.803;100803;119004;28.84;26.66;25.49
100.806;100806;119007;28.93;26.66;25.49
100.81;100810;119011;28.84;26.66;25.49
100.813;100813;119014;28.93;26.66;25.49
100.816;100816;119017;28.84;26.66;25.49
100.819;100819;119020;28.93;26.66;25.49
100.822;100822;119023;28.93;26.66;25.49
100.826;100826;119027;28.84;26.66;25.49
100.829;100829;119030;28.84;26.66;25.49
100.832;100832;119033;28.93;26.66;25.49
100.835;100835;119036;28.84;26.66;25.49
100.839;100839;119040;28.93;26.66;25.49
100.843;100843;119044;28.93;26.66;25.49
100.846;100846;119047;28.93;26.66;25.49
100.849;100849;119050;28.84;26.66;25.49
100.852;100852;119053;28.84;26.66;25.49
100.856;100856;119057;28.93;26.66;25.49
100.859;100859;119060;28.93;26.66;25.49
100.862;100862;119063;28.93;26.66;25.49
100.865;100865;119066;28.84;26.66;25.49
100.869;100869;119070;28.93;26.66;25.49
100.872;100872;119073;28.93;26.66;25.49
100.875;100875;119076;28.93;26.66;25.49
100.878;100878;119079;28.93;26.66;25.49
100.882;100882;119083;28.93;26.66;25.49
100.886;100886;119087;28.93;26.66;25.49
100.889;100889;119090;28.93;26.66;25.49
100.892;100892;119093;28.75;26.66;25.49
100.895;100895;119096;28.93;26.66;25.49
100.899;100899;119100;28.93;26.66;25.49
100.902;100902;119103;28.93;26.66;25.49
100.905;100905;119106;28.93;26.66;25.49
100.908;100908;119109;28.84;26.66;25.49
100.911;100911;119112;28.93;26.66;25.49
100.915;100915;119116;28.84;26.66;25.49
100.918;100918;119119;28.93;26.66;25.49
100.921;100921;119122;28.93;26.66;25.49
100.925;100925;119126;28.93;26.66;25.49
100.929;100929;119130;28.93;26.66;25.49
100.932;100932;119133;28.84;26.66;25.49
100.935;100935;119136;28.93;26.66;25.49
100.938;100938;119139;28.84;26.66;25.49
100.942;100942;119143;28.93;26.66;25.49
100.945;100945;119146;28.84;26.66;25.49
100.948;100948;119149;28.93;26.66;25.49
100.951;100951;119152;28.84;26.66;25.49
100.954;100954;119155;28.93;26.66;25.49
100.958;100958;119159;28.84;26.66;25.49
100.961;100961;119162;28.93;26.66;25.49
100.964;100964;119165;28.93;26.66;25.49
100.968;100968;119169;28.93;26.66;25.49
100.972;100972;119173;28.93;26.66;25.49
100.975;100975;119176;28.93;26.66;25.49
100.978;100978;119179;28.84;26.66;25.49
100.981;100981;119182;28.93;26.66;25.49
100.984;100984;119185;28.93;26.66;25.49
100.988;100988;119189;28.84;26.66;25.49
100.991;100991;119192;28.84;26.66;25.49
100.994;100994;119195;28.93;26.66;25.49
100.997;100997;119198;28.93;26.66;25.49
101.001;101001;119202;28.84;26.66;25.49
101.004;101004;119205;28.93;26.66;25.49
101.007;101007;119208;28.84;26.66;25.49
101.011;101011;119212;28.93;26.66;25.49
101.015;101015;119216;28.93;26.66;25.49
101.018;101018;119219;28.84;26.66;25.49
101.021;101021;119222;28.84;26.66;25.49
101.024;101024;119225;28.84;26.66;25.49
101.027;101027;119228;28.84;26.66;25.49
101.031;101031;119232;28.93;26.66;25.49
101.034;101034;119235;28.93;26.66;25.49
101.037;101037;119238;28.93;26.66;25.49
101.04;101040;119241;28.84;26.66;25.49
101.044;101044;119245;28.93;26.66;25.49
101.047;101047;119248;28.84;26.66;25.49
101.05;101050;119251;28.93;26.66;25.49
101.054;101054;119255;28.93;26.66;25.49
101.058;101058;119259;28.84;26.66;25.49
101.061;101061;119262;28.84;26.66;25.49
101.064;101064;119265;28.84;26.66;25.49
101.067;101067;119268;28.84;26.66;25.49
101.07;101070;119271;28.93;26.66;25.49
101.074;101074;119275;28.93;26.66;25.49
101.077;101077;119278;28.84;26.66;25.49
101.08;101080;119281;28.93;26.66;25.49
101.083;101083;119284;28.93;26.66;25.49
101.086;101086;119287;28.93;26.66;25.49
101.09;101090;119291;28.84;26.66;25.49
101.093;101093;119294;28.93;26.66;25.49
101.097;101097;119298;28.93;26.66;25.49
101.1;101100;119301;28.84;26.66;25.49
101.104;101104;119305;28.84;26.66;25.49
101.107;101107;119308;28.93;26.66;25.49
101.11;101110;119311;28.84;26.66;25.49
101.113;101113;119314;28.93;26.66;25.49
101.117;101117;119318;28.93;26.66;25.49
101.12;101120;119321;28.93;26.66;25.49
101.123;101123;119324;28.93;26.66;25.49
101.126;101126;119327;28.93;26.66;25.49
101.129;101129;119330;28.84;26.66;25.49
101.133;101133;119334;28.93;26.66;25.49
101.136;101136;119337;28.84;26.66;25.49
101.14;101140;119341;28.84;26.66;25.49
101.143;101143;119344;28.84;26.66;25.49
101.147;101147;119348;28.84;26.66;25.49
101.15;101150;119351;28.93;26.66;25.49
101.153;101153;119354;28.84;26.66;25.49
101.156;101156;119357;28.93;26.66;25.49
101.159;101159;119360;28.84;26.66;25.49
101.163;101163;119364;28.84;26.66;25.49
101.166;101166;119367;28.93;26.66;25.49
101.169;101169;119370;28.93;26.66;25.49
101.172;101172;119373;28.93;26.66;25.49
101.176;101176;119377;28.93;26.66;25.49
101.179;101179;119380;28.93;26.66;25.49
101.183;101183;119384;28.84;26.66;25.49
101.186;101186;119387;28.93;26.66;25.49
101.19;101190;119391;28.93;26.66;25.49
101.193;101193;119394;28.84;26.66;25.49
101.196;101196;119397;28.93;26.66;25.49
101.199;101199;119400;28.93;26.66;25.49
101.202;101202;119403;28.93;26.66;25.49
101.206;101206;119407;28.84;26.66;25.49
101.209;101209;119410;28.84;26.66;25.49
101.212;101212;119413;28.84;26.66;25.49
101.215;101215;119416;28.84;26.66;25.49
101.218;101218;119419;28.84;26.66;25.49
101.223;101223;119424;28.93;26.66;25.49
101.226;101226;119427;28.84;26.66;25.49
101.229;101229;119430;28.84;26.66;25.49
101.232;101232;119433;28.84;26.66;25.49
101.236;101236;119437;28.93;26.66;25.49
101.239;101239;119440;28.84;26.66;25.49
101.242;101242;119443;28.93;26.66;25.49
101.245;101245;119446;28.84;26.66;25.49
101.249;101249;119450;28.84;26.66;25.49
101.252;101252;119453;28.84;26.66;25.49
101.255;101255;119456;28.84;26.66;25.49
101.258;101258;119459;28.93;26.66;25.49
101.261;101261;119462;28.84;26.66;25.49
101.266;101266;119467;28.93;26.66;25.49
101.269;101269;119470;28.93;26.66;25.49
101.272;101272;119473;28.93;26.66;25.49
101.275;101275;119476;28.93;26.66;25.49
101.279;101279;119480;28.84;26.66;25.49
101.282;101282;119483;28.84;26.66;25.49
101.285;101285;119486;28.93;26.66;25.49
101.288;101288;119489;28.84;26.66;25.49
101.291;101291;119492;28.93;26.75;25.49
101.295;101295;119496;28.84;26.66;25.49
101.298;101298;119499;28.84;26.66;25.49
101.301;101301;119502;28.93;26.66;25.49
101.304;101304;119505;28.84;26.66;25.49
101.309;101309;119510;28.93;26.66;25.49
101.312;101312;119513;28.93;26.66;25.49
101.315;101315;119516;28.93;26.66;25.49
101.318;101318;119519;28.93;26.66;25.49
101.322;101322;119523;28.93;26.66;25.49
101.325;101325;119526;28.84;26.66;25.49
101.328;101328;119529;28.84;26.66;25.49
101.331;101331;119532;28.84;26.66;25.49
101.334;101334;119535;28.93;26.66;25.49
101.338;101338;119539;28.93;26.66;25.49
101.341;101341;119542;28.84;26.66;25.49
101.344;101344;119545;28.93;26.66;25.49
101.347;101347;119548;28.93;26.66;25.49
101.352;101352;119553;28.93;26.66;25.49
101.355;101355;119556;28.84;26.66;25.49
101.358;101358;119559;28.93;26.66;25.49
101.361;101361;119562;28.84;26.66;25.49
101.365;101365;119566;28.84;26.66;25.49
101.368;101368;119569;28.84;26.66;25.49
101.371;101371;119572;28.84;26.66;25.49
101.374;101374;119575;28.93;26.66;25.49
101.377;101377;119578;28.93;26.66;25.49
101.381;101381;119582;28.84;26.66;25.49
101.384;101384;119585;28.93;26.66;25.49
101.387;101387;119588;28.84;26.66;25.49
101.39;101390;119591;28.84;26.66;25.49
101.394;101394;119595;28.93;26.66;25.49
101.398;101398;119599;28.84;26.66;25.49
101.401;101401;119602;28.93;26.66;25.49
101.404;101404;119605;28.93;26.66;25.49
101.407;101407;119608;28.84;26.66;25.49
101.411;101411;119612;28.84;26.66;25.49
101.414;101414;119615;28.93;26.66;25.49
101.417;101417;119618;28.93;26.66;25.58
101.42;101420;119621;28.84;26.66;25.49
101.424;101424;119625;28.84;26.66;25.49
101.427;101427;119628;28.93;26.66;25.49
101.43;101430;119631;28.93;26.66;25.49
101.433;101433;119634;28.93;26.66;25.49
101.437;101437;119638;28.93;26.66;25.49
101.441;101441;119642;28.84;26.66;25.49
101.444;101444;119645;28.93;26.66;25.49
101.447;101447;119648;28.93;26.66;25.49
101.45;101450;119651;28.93;26.66;25.49
101.454;101454;119655;28.93;26.66;25.49
101.457;101457;119658;28.84;26.66;25.49
