temps (s);temps (ms);temps;ACTU;MILIEU;LASER
72.469;72469;75495;36.82;28.20;24.96
72.972;72972;75998;36.92;28.20;25.04
73.476;73476;76502;36.92;28.29;25.13
73.978;73978;77004;37.02;28.38;25.13
74.482;74482;77508;37.12;28.38;25.22
74.985;74985;78011;37.22;28.47;25.22
75.489;75489;78515;37.33;28.57;25.31
75.991;75991;79017;37.33;28.57;25.40
76.495;76495;79521;37.43;28.66;25.40
76.998;76998;80024;37.43;28.75;25.40
77.502;77502;80528;37.53;28.75;25.49
78.005;78005;81031;37.53;28.84;25.58
78.508;78508;81534;37.63;28.93;25.58
79.011;79011;82037;37.63;28.93;25.67
79.515;79515;82541;37.74;29.02;25.76
80.018;80018;83044;37.84;29.12;25.76
80.522;80522;83548;37.84;29.12;25.85
81.024;81024;84050;37.94;29.21;25.94
81.527;81527;84553;38.05;29.30;25.94
82.031;82031;85057;38.15;29.30;25.94
82.534;82534;85560;38.15;29.39;26.03
83.038;83038;86064;38.25;29.49;26.12
83.54;83540;86566;38.36;29.49;26.12
84.044;84044;87070;38.36;29.58;26.21
84.547;84547;87573;38.46;29.58;26.30
85.051;85051;88077;38.46;29.67;26.30
85.554;85554;88580;38.57;29.76;26.39
86.057;86057;89083;38.67;29.76;26.39
86.56;86560;89586;38.78;29.86;26.48
87.064;87064;90090;38.88;29.86;26.48
87.567;87567;90593;38.88;29.95;26.57
88.071;88071;91097;38.99;30.04;26.66
88.573;88573;91599;39.09;30.04;26.66
89.077;89077;92103;39.09;30.13;26.75
89.58;89580;92606;39.09;30.23;26.75
90.084;90084;93110;39.20;30.23;26.84
90.587;90587;93613;39.20;30.32;26.93
91.089;91089;94115;39.30;30.41;26.93
91.593;91593;94619;39.30;30.41;27.02
92.096;92096;95122;39.30;30.51;27.11
92.6;92600;95626;39.41;30.60;27.11
93.103;93103;96129;39.41;30.60;27.20
93.606;93606;96632;39.41;30.69;27.20
94.109;94109;97135;39.51;30.79;27.29
94.613;94613;97639;39.51;30.79;27.38
95.116;95116;98142;39.51;30.88;27.38
95.62;95620;98646;39.62;30.88;27.47
96.122;96122;99148;39.62;30.97;27.47
96.626;96626;99652;39.73;30.97;27.56
97.129;97129;100155;39.83;31.07;27.65
97.633;97633;100659;39.83;31.07;27.65
98.135;98135;101161;39.83;31.16;27.74
98.639;98639;101665;39.94;31.26;27.74
99.142;99142;102168;39.94;31.26;27.84
99.646;99646;102672;40.05;31.35;27.93
100.149;100149;103175;40.15;31.35;27.93
100.652;100652;103678;40.15;31.44;28.02
101.155;101155;104181;40.26;31.44;28.02
101.659;101659;104685;40.26;31.54;28.11
102.162;102162;105188;40.37;31.54;28.11
102.666;102666;105692;40.37;31.63;28.20
103.168;103168;106194;40.48;31.73;28.29
103.672;103672;106698;40.48;31.73;28.29
104.176;104176;107202;40.59;31.82;28.38
104.679;104679;107705;40.59;31.82;28.47
105.183;105183;108209;40.69;31.92;28.47
105.685;105685;108711;40.80;31.92;28.47
106.189;106189;109215;40.80;32.01;28.57
106.692;106692;109718;40.91;32.01;28.66
107.196;107196;110222;40.91;32.11;28.66
107.699;107699;110725;41.02;32.11;28.75
108.202;108202;111228;41.13;32.20;28.75
108.705;108705;111731;41.13;32.20;28.84
109.209;109209;112235;41.24;32.30;28.84
109.712;109712;112738;41.24;32.39;28.93
110.216;110216;113242;41.24;32.39;29.02
110.718;110718;113744;41.35;32.49;29.02
111.222;111222;114248;41.46;32.49;29.12
111.726;111726;114752;41.46;32.58;29.12
112.229;112229;115255;41.57;32.58;29.21
112.733;112733;115759;41.57;32.68;29.21
113.235;113235;116261;41.57;32.78;29.30
113.739;113739;116765;41.68;32.78;29.30
114.242;114242;117268;41.68;32.87;29.39
114.746;114746;117772;41.68;32.87;29.39
115.249;115249;118275;41.68;32.87;29.49
115.752;115752;118778;41.79;32.97;29.49
116.255;116255;119281;41.79;33.06;29.58
116.759;116759;119785;41.90;33.06;29.58
117.262;117262;120288;41.90;33.06;29.67
117.766;117766;120792;41.90;33.16;29.67
118.268;118268;121294;41.90;33.16;29.76
118.772;118772;121798;42.01;33.26;29.76
119.276;119276;122302;42.01;33.26;29.86
119.779;119779;122805;42.12;33.35;29.86
120.283;120283;123309;42.12;33.35;29.95
120.785;120785;123811;42.12;33.45;29.95
121.289;121289;124315;42.23;33.45;29.95
121.792;121792;124818;42.35;33.55;30.04
122.296;122296;125322;42.35;33.64;30.13
122.799;122799;125825;42.35;33.64;30.13
123.302;123302;126328;42.46;33.74;30.23
123.805;123805;126831;42.46;33.74;30.23
124.309;124309;127335;42.57;33.84;30.32
124.813;124813;127839;42.57;33.84;30.32
125.316;125316;128342;42.68;33.93;30.32
125.819;125819;128845;42.80;33.93;30.41
126.322;126322;129348;42.80;34.03;30.51
126.826;126826;129852;42.91;34.03;30.51
127.329;127329;130355;43.02;34.13;30.51
127.833;127833;130859;43.02;34.13;30.60
128.335;128335;131361;43.14;34.23;30.60
128.839;128839;131865;43.14;34.23;30.69
129.342;129342;132368;43.25;34.33;30.69
129.846;129846;132872;43.25;34.33;30.69
130.348;130348;133374;43.36;34.33;30.69
130.852;130852;133878;43.36;34.33;30.79
131.355;131355;134381;43.48;34.42;30.88
131.859;131859;134885;43.48;34.42;30.88
132.362;132362;135388;43.59;34.52;30.97
132.865;132865;135891;43.59;34.62;30.97
133.368;133368;136394;43.71;34.62;31.07
133.872;133872;136898;43.71;34.72;31.07
134.376;134376;137402;43.82;34.72;31.07
134.879;134879;137905;43.82;34.82;31.16
135.382;135382;138408;43.94;34.82;31.16
135.885;135885;138911;43.94;34.82;31.16
136.389;136389;139415;43.94;34.91;31.26
136.892;136892;139918;43.94;34.91;31.26
137.396;137396;140422;44.05;34.91;31.35
137.898;137898;140924;44.05;35.01;31.35
138.402;138402;141428;44.17;35.01;31.44
138.905;138905;141931;44.17;35.01;31.44
139.409;139409;142435;44.17;35.11;31.44
139.912;139912;142938;44.28;35.11;31.54
140.415;140415;143441;44.28;35.21;31.54
140.918;140918;143944;44.40;35.21;31.63
141.422;141422;144448;44.40;35.21;31.63
141.926;141926;144952;44.40;35.31;31.63
142.429;142429;145455;44.52;35.31;31.73
142.932;142932;145958;44.52;35.41;31.73
143.435;143435;146461;44.52;35.41;31.73
143.939;143939;146965;44.52;35.41;31.82
144.442;144442;147468;44.63;35.51;31.82
