temps (s);temps (ms);temps;ACTU;MILIEU;LASER
0;0;3026;22.30;22.30;22.03
0.504;504;3530;22.30;22.30;22.03
1.007;1007;4033;22.30;22.30;22.03
1.511;1511;4537;22.30;22.30;22.03
2.014;2014;5040;22.30;22.30;22.03
2.516;2516;5542;22.30;22.30;22.03
3.02;3020;6046;22.30;22.30;22.03
3.523;3523;6549;22.30;22.30;22.03
4.027;4027;7053;22.30;22.30;22.03
4.53;4530;7556;22.30;22.30;22.03
5.032;5032;8058;22.30;22.30;22.03
5.536;5536;8562;22.30;22.39;22.03
6.039;6039;9065;22.30;22.39;22.03
6.542;6542;9568;22.30;22.39;22.03
7.046;7046;10072;22.30;22.39;22.03
7.548;7548;10574;22.30;22.30;22.03
8.052;8052;11078;22.30;22.39;22.03
8.555;8555;11581;22.30;22.39;22.03
9.059;9059;12085;22.30;22.39;22.03
9.562;9562;12588;22.30;22.39;22.03
10.064;10064;13090;22.21;22.39;22.12
10.568;10568;13594;22.12;22.39;22.03
11.071;11071;14097;21.86;22.39;22.12
11.575;11575;14601;21.68;22.39;22.12
12.078;12078;15104;21.51;22.39;22.12
12.581;12581;15607;21.24;22.39;22.12
13.084;13084;16110;21.07;22.39;22.12
13.588;13588;16614;20.89;22.39;22.12
14.091;14091;17117;20.63;22.39;22.12
14.594;14594;17620;20.54;22.39;22.12
15.097;15097;18123;20.28;22.39;22.12
15.6;15600;18626;20.10;22.30;22.12
16.104;16104;19130;20.01;22.30;22.12
16.607;16607;19633;19.84;22.30;22.12
17.11;17110;20136;19.66;22.30;22.12
17.613;17613;20639;19.58;22.30;22.12
18.117;18117;21143;19.40;22.21;22.12
18.62;18620;21646;19.31;22.21;22.12
19.124;19124;22150;19.14;22.21;22.12
19.626;19626;22652;19.05;22.12;22.12
20.13;20130;23156;18.96;22.12;22.12
20.633;20633;23659;18.79;22.12;22.12
21.137;21137;24163;18.70;22.03;22.12
21.64;21640;24666;18.61;22.03;22.12
22.142;22142;25168;18.44;22.03;22.12
22.646;22646;25672;18.35;21.95;22.12
23.149;23149;26175;18.26;21.95;22.03
23.653;23653;26679;18.17;21.86;22.03
24.156;24156;27182;18.09;21.86;22.03
24.659;24659;27685;18.00;21.77;22.03
25.162;25162;28188;17.91;21.77;22.03
25.666;25666;28692;17.82;21.77;22.03
26.169;26169;29195;17.74;21.68;22.03
26.672;26672;29698;17.65;21.68;22.03
27.175;27175;30201;17.56;21.59;22.03
27.678;27678;30704;17.47;21.51;22.03
28.182;28182;31208;17.39;21.51;21.95
28.685;28685;31711;17.30;21.51;21.95
29.189;29189;32215;17.21;21.42;21.95
29.691;29691;32717;17.12;21.33;21.95
30.195;30195;33221;17.03;21.33;21.95
30.698;30698;33724;17.03;21.33;21.95
31.202;31202;34228;16.95;21.24;21.95
31.705;31705;34731;16.95;21.24;21.86
32.207;32207;35233;16.86;21.16;21.86
32.711;32711;35737;16.77;21.16;21.86
33.214;33214;36240;16.77;21.07;21.86
33.718;33718;36744;16.68;21.07;21.86
34.22;34220;37246;16.59;21.07;21.77
34.724;34724;37750;16.59;20.98;21.77
35.227;35227;38253;16.51;20.98;21.77
35.731;35731;38757;16.51;20.89;21.77
36.234;36234;39260;16.42;20.89;21.68
36.736;36736;39762;16.33;20.80;21.68
37.24;37240;40266;16.24;20.80;21.68
37.743;37743;40769;16.24;20.72;21.68
38.247;38247;41273;16.15;20.72;21.68
38.75;38750;41776;16.07;20.63;21.59
39.253;39253;42279;16.07;20.63;21.59
39.756;39756;42782;15.98;20.54;21.59
40.26;40260;43286;15.89;20.54;21.59
40.763;40763;43789;15.89;20.45;21.51
41.266;41266;44292;15.80;20.45;21.51
41.769;41769;44795;15.80;20.45;21.51
42.272;42272;45298;15.71;20.37;21.42
42.776;42776;45802;15.63;20.37;21.42
43.279;43279;46305;15.63;20.28;21.42
43.783;43783;46809;15.54;20.28;21.42
44.285;44285;47311;15.54;20.19;21.42
44.789;44789;47815;15.45;20.19;21.33
45.292;45292;48318;15.45;20.19;21.33
45.796;45796;48822;15.36;20.10;21.24
46.299;46299;49325;15.36;20.10;21.24
46.801;46801;49827;15.27;20.01;21.24
47.305;47305;50331;15.27;20.01;21.24
47.808;47808;50834;15.27;19.93;21.16
48.312;48312;51338;15.18;19.93;21.16
48.815;48815;51841;15.18;19.84;21.16
49.318;49318;52344;15.18;19.84;21.07
49.821;49821;52847;15.10;19.84;21.07
50.325;50325;53351;15.10;19.75;21.07
50.828;50828;53854;15.01;19.66;20.98
51.33;51330;54356;15.01;19.66;20.98
51.834;51834;54860;14.92;19.66;20.98
52.337;52337;55363;14.92;19.58;20.98
52.841;52841;55867;14.83;19.58;20.89
53.344;53344;56370;14.74;19.49;20.89
53.847;53847;56873;14.74;19.49;20.89
54.35;54350;57376;14.74;19.49;20.80
54.854;54854;57880;14.65;19.40;20.80
55.357;55357;58383;14.65;19.40;20.80
55.86;55860;58886;14.57;19.31;20.72
56.363;56363;59389;14.57;19.31;20.72
56.866;56866;59892;14.48;19.31;20.72
57.37;57370;60396;14.48;19.23;20.72
57.873;57873;60899;14.39;19.23;20.63
58.377;58377;61403;14.39;19.14;20.63
58.879;58879;61905;14.39;19.14;20.63
59.383;59383;62409;14.30;19.14;20.54
59.886;59886;62912;14.30;19.05;20.54
60.389;60389;63415;14.30;19.05;20.54
60.893;60893;63919;14.21;19.05;20.54
61.395;61395;64421;14.21;18.96;20.45
61.899;61899;64925;14.12;18.96;20.37
62.402;62402;65428;14.12;18.88;20.37
62.906;62906;65932;14.12;18.88;20.37
63.409;63409;66435;14.03;18.88;20.28
63.911;63911;66937;14.03;18.79;20.28
64.415;64415;67441;14.03;18.79;20.28
64.918;64918;67944;13.94;18.79;20.19
65.422;65422;68448;13.94;18.70;20.19
65.925;65925;68951;13.94;18.70;20.19
66.428;66428;69454;13.86;18.61;20.10
66.931;66931;69957;13.86;18.61;20.10
67.435;67435;70461;13.77;18.61;20.10
67.938;67938;70964;13.77;18.53;20.01
68.441;68441;71467;13.77;18.53;20.01
68.944;68944;71970;13.77;18.44;20.01
69.447;69447;72473;13.68;18.44;19.93
69.951;69951;72977;13.68;18.44;19.93
70.454;70454;73480;13.68;18.35;19.84
70.958;70958;73984;13.59;18.35;19.84
71.46;71460;74486;13.59;18.35;19.84
71.964;71964;74990;13.59;18.26;19.75
72.467;72467;75493;13.50;18.26;19.75
72.97;72970;75996;13.50;18.26;19.75
73.473;73473;76499;13.50;18.17;19.75
73.976;73976;77002;13.41;18.17;19.66
74.48;74480;77506;13.41;18.09;19.66
74.983;74983;78009;13.32;18.09;19.66
75.487;75487;78513;13.32;18.09;19.58
75.989;75989;79015;13.32;18.00;19.58
76.492;76492;79518;13.23;18.00;19.58
76.996;76996;80022;13.23;18.00;19.49
77.499;77499;80525;13.23;17.91;19.49
78.003;78003;81029;13.14;17.91;19.49
78.505;78505;81531;13.14;17.91;19.40
79.009;79009;82035;13.14;17.82;19.40
79.512;79512;82538;13.05;17.82;19.31
80.016;80016;83042;13.05;17.82;19.31
80.519;80519;83545;13.05;17.74;19.31
81.021;81021;84047;12.96;17.74;19.23
81.525;81525;84551;12.96;17.74;19.23
82.028;82028;85054;12.96;17.65;19.23
82.532;82532;85558;12.96;17.65;19.23
