temps (s);temps(ms);temps;ACTU;MILIEU;LASER
0;0;1303;21.86;21.95;21.59
0.004;4;1307;21.86;21.95;21.68
0.007;7;1310;21.86;21.95;21.59
0.01;10;1313;21.86;21.95;21.59
0.013;13;1316;21.86;21.95;21.68
0.016;16;1319;21.86;21.95;21.68
0.02;20;1323;21.86;21.95;21.59
0.024;24;1327;21.86;21.95;21.59
0.027;27;1330;21.86;21.95;21.59
0.03;30;1333;21.86;21.95;21.59
0.033;33;1336;21.86;21.95;21.59
0.036;36;1339;21.86;21.95;21.59
0.039;39;1342;21.86;21.95;21.68
0.043;43;1346;21.86;21.95;21.59
0.046;46;1349;21.86;21.95;21.68
0.049;49;1352;21.86;21.95;21.68
0.052;52;1355;21.86;21.95;21.59
0.055;55;1358;21.86;21.95;21.68
0.058;58;1361;21.86;21.95;21.68
0.063;63;1366;21.86;21.95;21.68
0.066;66;1369;21.86;21.95;21.59
0.069;69;1372;21.86;21.95;21.68
0.072;72;1375;21.86;21.95;21.59
0.075;75;1378;21.86;21.95;21.59
0.079;79;1382;21.86;21.95;21.68
0.082;82;1385;21.86;21.95;21.68
0.085;85;1388;21.86;21.95;21.59
0.088;88;1391;21.86;21.95;21.59
0.091;91;1394;21.86;21.95;21.59
0.094;94;1397;21.86;21.95;21.68
0.098;98;1401;21.86;21.86;21.59
0.101;101;1404;21.86;21.95;21.68
0.105;105;1408;21.86;21.95;21.59
0.108;108;1411;21.86;21.95;21.59
0.111;111;1414;21.86;21.95;21.68
0.114;114;1417;21.86;21.95;21.59
0.118;118;1421;21.77;21.95;21.68
0.121;121;1424;21.86;21.95;21.59
0.124;124;1427;21.86;21.95;21.59
0.127;127;1430;21.86;21.95;21.68
0.13;130;1433;21.86;21.95;21.68
0.133;133;1436;21.86;21.95;21.59
0.137;137;1440;21.86;21.95;21.59
0.14;140;1443;21.86;21.95;21.59
0.143;143;1446;21.86;21.95;21.59
0.146;146;1449;21.86;21.95;21.59
0.15;150;1453;21.86;21.95;21.59
0.154;154;1457;21.86;21.95;21.59
0.157;157;1460;21.86;21.95;21.68
0.16;160;1463;21.86;21.95;21.68
0.163;163;1466;21.86;21.95;21.59
0.166;166;1469;21.86;21.95;21.59
0.169;169;1472;21.86;21.95;21.68
0.173;173;1476;21.86;21.95;21.59
0.176;176;1479;21.86;21.95;21.68
0.179;179;1482;21.86;21.95;21.59
0.182;182;1485;21.86;21.95;21.59
0.185;185;1488;21.86;21.95;21.68
0.188;188;1491;21.86;21.95;21.59
0.193;193;1496;21.86;21.95;21.68
0.196;196;1499;21.86;21.95;21.59
0.199;199;1502;21.86;21.95;21.68
0.202;202;1505;21.86;21.95;21.68
0.205;205;1508;21.86;21.95;21.59
0.208;208;1511;21.86;21.95;21.68
0.212;212;1515;21.86;21.95;21.59
0.215;215;1518;21.86;21.95;21.59
0.218;218;1521;21.86;21.95;21.59
0.221;221;1524;21.86;21.95;21.59
0.224;224;1527;21.86;21.95;21.59
0.227;227;1530;21.86;21.95;21.59
0.231;231;1534;21.86;21.95;21.68
0.235;235;1538;21.86;21.95;21.59
0.238;238;1541;21.86;21.95;21.68
0.241;241;1544;21.86;21.95;21.59
0.244;244;1547;21.86;21.95;21.68
0.248;248;1551;21.86;21.95;21.59
0.251;251;1554;21.86;21.95;21.68
0.254;254;1557;21.86;21.95;21.59
0.257;257;1560;21.86;21.95;21.59
0.26;260;1563;21.86;21.95;21.59
0.263;263;1566;21.86;21.95;21.59
0.266;266;1569;21.86;21.95;21.68
0.27;270;1573;21.86;21.95;21.59
0.273;273;1576;21.86;21.95;21.68
0.277;277;1580;21.86;21.95;21.68
0.28;280;1583;21.86;21.95;21.59
0.283;283;1586;21.86;21.95;21.59
0.287;287;1590;21.86;21.95;21.59
0.29;290;1593;21.86;21.95;21.68
0.293;293;1596;21.86;21.95;21.68
0.296;296;1599;21.86;21.95;21.59
0.299;299;1602;21.86;21.95;21.68
0.302;302;1605;21.86;21.95;21.59
0.306;306;1609;21.86;21.95;21.59
0.309;309;1612;21.86;21.95;21.68
0.312;312;1615;21.86;21.95;21.59
0.315;315;1618;21.86;21.95;21.59
0.319;319;1622;21.86;21.95;21.68
0.322;322;1625;21.86;21.95;21.59
0.326;326;1629;21.86;21.95;21.59
0.329;329;1632;21.86;21.95;21.59
0.332;332;1635;21.86;21.95;21.59
0.335;335;1638;21.86;21.95;21.59
0.338;338;1641;21.86;21.95;21.59
0.341;341;1644;21.86;21.95;21.59
0.345;345;1648;21.86;21.95;21.68
0.348;348;1651;21.86;21.95;21.59
0.351;351;1654;21.86;21.95;21.59
0.354;354;1657;21.86;21.95;21.59
0.357;357;1660;21.86;21.95;21.59
0.361;361;1664;21.86;21.95;21.59
0.365;365;1668;21.86;21.95;21.59
0.368;368;1671;21.86;21.95;21.59
0.371;371;1674;21.86;21.95;21.59
0.374;374;1677;21.86;21.95;21.68
0.377;377;1680;21.86;21.95;21.68
0.381;381;1684;21.86;21.95;21.68
0.384;384;1687;21.86;21.95;21.68
0.387;387;1690;21.86;21.95;21.59
0.39;390;1693;21.86;21.95;21.68
0.393;393;1696;21.86;21.95;21.59
0.396;396;1699;21.86;21.95;21.68
0.4;400;1703;21.86;21.95;21.59
0.404;404;1707;21.86;21.95;21.68
0.407;407;1710;21.86;21.95;21.59
0.41;410;1713;21.86;21.95;21.68
0.413;413;1716;21.86;21.95;21.59
0.416;416;1719;21.86;21.95;21.59
0.42;420;1723;21.86;21.95;21.68
0.423;423;1726;21.86;21.95;21.68
0.426;426;1729;21.86;21.95;21.59
0.429;429;1732;21.86;21.95;21.59
0.432;432;1735;21.86;21.95;21.68
0.435;435;1738;21.86;21.95;21.68
0.439;439;1742;21.86;21.95;21.68
0.442;442;1745;21.86;21.95;21.68
0.445;445;1748;21.86;21.95;21.59
0.449;449;1752;21.86;21.95;21.59
0.452;452;1755;21.86;21.95;21.68
0.456;456;1759;21.86;21.95;21.59
0.459;459;1762;21.86;21.95;21.68
0.462;462;1765;21.86;21.95;21.68
0.465;465;1768;21.86;21.95;21.59
0.468;468;1771;21.86;21.95;21.59
0.471;471;1774;21.86;21.95;21.59
0.475;475;1778;21.86;21.95;21.59
0.478;478;1781;21.86;21.95;21.59
0.481;481;1784;21.86;21.95;21.68
0.484;484;1787;21.86;21.95;21.59
0.487;487;1790;21.86;21.95;21.59
0.491;491;1794;21.86;21.95;21.59
0.495;495;1798;21.86;21.95;21.59
0.498;498;1801;21.86;21.95;21.59
0.501;501;1804;21.86;21.95;21.68
0.504;504;1807;21.86;21.95;21.68
0.507;507;1810;21.86;21.95;21.68
0.51;510;1813;21.86;21.95;21.59
0.514;514;1817;21.86;21.95;21.68
0.517;517;1820;21.86;21.95;21.59
0.52;520;1823;21.86;21.95;21.59
0.523;523;1826;21.86;21.95;21.59
0.526;526;1829;21.86;21.95;21.59
0.529;529;1832;21.86;21.95;21.59
0.534;534;1837;21.86;21.95;21.68
0.537;537;1840;21.86;21.95;21.59
0.54;540;1843;21.86;21.95;21.68
0.543;543;1846;21.86;21.95;21.68
0.546;546;1849;21.86;21.95;21.59
0.55;550;1853;21.86;21.95;21.68
0.553;553;1856;21.86;21.95;21.59
0.556;556;1859;21.77;21.95;21.68
0.559;559;1862;21.77;21.95;21.68
0.562;562;1865;21.86;21.95;21.59
0.565;565;1868;21.86;21.95;21.68
0.568;568;1871;21.77;21.95;21.59
0.572;572;1875;21.86;21.95;21.59
0.576;576;1879;21.86;21.95;21.59
0.579;579;1882;21.86;21.95;21.68
0.582;582;1885;21.86;21.95;21.59
0.585;585;1888;21.86;21.95;21.59
0.589;589;1892;21.86;21.95;21.59
0.592;592;1895;21.86;21.95;21.59
0.595;595;1898;21.86;21.95;21.59
0.598;598;1901;21.86;21.95;21.59
0.601;601;1904;21.86;21.95;21.68
0.604;604;1907;21.86;21.95;21.68
0.608;608;1911;21.86;21.86;21.59
0.611;611;1914;21.86;21.95;21.59
0.614;614;1917;21.86;21.95;21.59
0.618;618;1921;21.86;21.95;21.68
0.621;621;1924;21.86;21.95;21.68
0.625;625;1928;21.86;21.95;21.59
0.628;628;1931;21.86;21.95;21.68
0.631;631;1934;21.86;21.95;21.59
0.634;634;1937;21.86;21.95;21.59
0.637;637;1940;21.86;21.95;21.68
0.64;640;1943;21.86;21.95;21.59
0.644;644;1947;21.86;21.95;21.68
0.647;647;1950;21.86;21.95;21.59
0.65;650;1953;21.86;21.95;21.59
0.653;653;1956;21.86;21.95;21.59
0.656;656;1959;21.86;21.95;21.59
0.66;660;1963;21.86;21.95;21.59
0.664;664;1967;21.86;21.95;21.59
0.667;667;1970;21.86;21.95;21.59
0.67;670;1973;21.86;21.95;21.68
0.673;673;1976;21.86;21.95;21.59
0.676;676;1979;21.86;21.95;21.59
0.679;679;1982;21.86;21.95;21.59
0.683;683;1986;21.86;21.95;21.59
0.686;686;1989;21.86;21.95;21.68
0.689;689;1992;21.86;21.95;21.59
0.692;692;1995;21.86;21.95;21.59
0.695;695;1998;21.86;21.95;21.59
0.698;698;2001;21.86;21.95;21.59
0.703;703;2006;21.86;21.95;21.68
0.706;706;2009;21.86;21.95;21.68
0.709;709;2012;21.86;21.95;21.68
0.712;712;2015;21.86;21.95;21.59
0.715;715;2018;21.86;21.95;21.59
0.719;719;2022;21.86;21.95;21.59
0.722;722;2025;21.86;21.95;21.59
0.725;725;2028;21.86;21.95;21.68
0.728;728;2031;21.86;21.95;21.68
0.731;731;2034;21.86;21.95;21.68
0.734;734;2037;21.86;21.95;21.59
0.737;737;2040;21.86;21.95;21.59
0.741;741;2044;21.86;21.95;21.68
0.745;745;2048;21.86;21.95;21.59
0.748;748;2051;21.86;21.95;21.59
0.751;751;2054;21.86;21.95;21.59
0.754;754;2057;21.86;21.95;21.59
0.758;758;2061;21.86;21.95;21.59
0.761;761;2064;21.86;21.95;21.59
0.764;764;2067;21.86;21.95;21.59
0.767;767;2070;21.86;21.95;21.68
0.77;770;2073;21.86;21.95;21.59
0.773;773;2076;21.86;21.95;21.59
0.777;777;2080;21.86;21.95;21.59
0.78;780;2083;21.86;21.95;21.68
0.783;783;2086;21.86;21.95;21.59
0.786;786;2089;21.86;21.95;21.68
0.79;790;2093;21.86;21.95;21.59
0.793;793;2096;21.86;21.95;21.59
0.797;797;2100;21.86;21.95;21.59
0.8;800;2103;21.86;21.95;21.59
0.803;803;2106;21.86;21.95;21.59
0.806;806;2109;21.86;21.95;21.59
0.809;809;2112;21.86;21.95;21.59
0.812;812;2115;21.86;21.95;21.59
0.816;816;2119;21.86;21.95;21.68
0.819;819;2122;21.86;21.95;21.68
0.822;822;2125;21.86;21.95;21.68
0.825;825;2128;21.86;21.95;21.59
0.828;828;2131;21.86;21.95;21.59
0.832;832;2135;21.86;21.95;21.59
0.836;836;2139;21.86;21.95;21.68
0.839;839;2142;21.86;21.95;21.59
0.842;842;2145;21.86;21.95;21.59
0.845;845;2148;21.86;21.95;21.68
0.848;848;2151;21.86;21.95;21.68
0.852;852;2155;21.86;21.95;21.59
0.855;855;2158;21.86;21.95;21.59
0.858;858;2161;21.86;21.95;21.68
0.861;861;2164;21.86;21.95;21.68
0.864;864;2167;21.86;21.95;21.59
0.867;867;2170;21.86;21.95;21.68
0.87;870;2173;21.86;21.95;21.59
0.875;875;2178;21.86;21.95;21.59
0.878;878;2181;21.86;21.95;21.59
0.881;881;2184;21.86;21.95;21.59
0.884;884;2187;21.86;21.95;21.68
0.887;887;2190;21.86;21.95;21.68
0.891;891;2194;21.86;21.95;21.68
0.894;894;2197;21.86;21.95;21.59
0.897;897;2200;21.86;21.95;21.59
0.9;900;2203;21.86;21.95;21.59
0.903;903;2206;21.86;21.95;21.68
0.906;906;2209;21.86;21.95;21.59
0.91;910;2213;21.86;21.95;21.68
0.913;913;2216;21.86;21.95;21.68
0.917;917;2220;21.86;21.95;21.59
0.92;920;2223;21.86;21.95;21.59
0.923;923;2226;21.86;21.95;21.59
0.927;927;2230;21.86;21.95;21.59
0.93;930;2233;21.86;21.95;21.68
0.933;933;2236;21.86;21.95;21.68
0.936;936;2239;21.86;21.95;21.59
0.939;939;2242;21.86;21.95;21.59
0.942;942;2245;21.86;21.95;21.59
0.946;946;2249;21.86;21.95;21.59
0.949;949;2252;21.86;21.95;21.59
0.952;952;2255;21.86;21.95;21.59
0.955;955;2258;21.86;21.95;21.68
0.959;959;2262;21.86;21.95;21.68
0.962;962;2265;21.86;21.95;21.59
0.966;966;2269;21.86;21.95;21.59
0.969;969;2272;21.86;21.95;21.59
0.972;972;2275;21.86;21.95;21.59
0.975;975;2278;21.86;21.95;21.59
0.978;978;2281;21.86;21.95;21.59
0.981;981;2284;21.86;21.95;21.59
0.985;985;2288;21.86;21.95;21.68
0.988;988;2291;21.86;21.95;21.59
0.991;991;2294;21.86;21.95;21.59
0.994;994;2297;21.86;21.95;21.59
0.997;997;2300;21.86;21.95;21.68
1.001;1001;2304;21.86;21.95;21.59
1.005;1005;2308;21.86;21.95;21.59
1.008;1008;2311;21.86;21.95;21.59
1.011;1011;2314;21.86;21.95;21.59
1.014;1014;2317;21.86;21.95;21.59
1.017;1017;2320;21.86;21.95;21.68
1.021;1021;2324;21.86;21.95;21.59
1.024;1024;2327;21.86;21.95;21.68
1.027;1027;2330;21.86;21.95;21.59
1.03;1030;2333;21.86;21.95;21.68
1.033;1033;2336;21.86;21.95;21.59
1.036;1036;2339;21.86;21.95;21.59
1.039;1039;2342;21.77;21.95;21.59
1.044;1044;2347;21.86;21.95;21.68
1.047;1047;2350;21.86;21.95;21.59
1.05;1050;2353;21.86;21.95;21.59
1.053;1053;2356;21.86;21.95;21.59
1.056;1056;2359;21.86;21.95;21.59
1.06;1060;2363;21.86;21.95;21.59
1.063;1063;2366;21.86;21.95;21.59
1.066;1066;2369;21.86;21.95;21.59
1.069;1069;2372;21.86;21.95;21.59
1.072;1072;2375;21.86;21.95;21.68
1.075;1075;2378;21.86;21.95;21.59
1.079;1079;2382;21.86;21.95;21.68
1.082;1082;2385;21.86;21.95;21.59
1.085;1085;2388;21.86;21.95;21.59
1.089;1089;2392;21.86;21.95;21.59
1.092;1092;2395;21.86;21.95;21.68
1.096;1096;2399;21.86;21.95;21.59
1.099;1099;2402;21.86;21.95;21.59
1.102;1102;2405;21.86;21.95;21.68
1.105;1105;2408;21.86;21.95;21.68
1.108;1108;2411;21.86;21.95;21.68
1.111;1111;2414;21.86;21.95;21.68
1.114;1114;2417;21.86;21.95;21.68
1.118;1118;2421;21.86;21.95;21.59
1.121;1121;2424;21.86;21.95;21.59
1.124;1124;2427;21.86;21.95;21.59
1.127;1127;2430;21.86;21.95;21.68
1.131;1131;2434;21.86;21.95;21.68
1.135;1135;2438;21.86;21.95;21.59
1.138;1138;2441;21.86;21.95;21.59
1.141;1141;2444;21.86;21.95;21.68
1.144;1144;2447;21.86;21.95;21.59
1.147;1147;2450;21.86;21.95;21.59
1.15;1150;2453;21.86;21.95;21.68
1.154;1154;2457;21.86;21.95;21.59
1.157;1157;2460;21.86;21.95;21.59
1.16;1160;2463;21.86;21.95;21.68
1.163;1163;2466;21.86;21.95;21.59
1.166;1166;2469;21.86;21.95;21.59
1.169;1169;2472;21.86;21.95;21.59
1.174;1174;2477;21.86;21.95;21.59
1.177;1177;2480;21.86;21.95;21.59
1.18;1180;2483;21.86;21.95;21.59
1.183;1183;2486;21.86;21.95;21.59
1.186;1186;2489;21.86;21.95;21.68
1.19;1190;2493;21.86;21.95;21.59
1.193;1193;2496;21.86;21.95;21.59
1.196;1196;2499;21.86;21.95;21.59
1.199;1199;2502;21.86;21.95;21.59
1.202;1202;2505;21.86;21.95;21.59
1.205;1205;2508;21.86;21.95;21.59
1.208;1208;2511;21.86;21.95;21.59
1.212;1212;2515;21.86;21.95;21.59
1.216;1216;2519;21.86;21.95;21.68
1.219;1219;2522;21.86;21.95;21.59
1.222;1222;2525;21.86;21.95;21.59
1.225;1225;2528;21.86;21.95;21.59
1.229;1229;2532;21.86;21.95;21.59
1.232;1232;2535;21.77;21.95;21.59
1.235;1235;2538;21.86;21.95;21.59
1.238;1238;2541;21.86;21.86;21.59
1.241;1241;2544;21.86;21.95;21.59
1.244;1244;2547;21.86;21.95;21.59
1.248;1248;2551;21.86;21.95;21.59
1.251;1251;2554;21.86;21.95;21.68
1.254;1254;2557;21.86;21.95;21.68
1.258;1258;2561;21.86;21.95;21.59
1.261;1261;2564;21.86;21.95;21.59
1.265;1265;2568;21.86;21.95;21.59
1.268;1268;2571;21.86;21.95;21.68
1.271;1271;2574;21.86;21.95;21.68
1.274;1274;2577;21.77;21.86;21.59
1.277;1277;2580;21.86;21.95;21.59
1.28;1280;2583;21.86;21.95;21.59
1.283;1283;2586;21.86;21.95;21.68
1.287;1287;2590;21.86;21.95;21.59
1.29;1290;2593;21.86;21.95;21.59
1.293;1293;2596;21.86;21.95;21.59
1.296;1296;2599;21.86;21.95;21.59
1.3;1300;2603;21.86;21.95;21.59
1.304;1304;2607;21.86;21.95;21.59
1.307;1307;2610;21.86;21.95;21.59
1.31;1310;2613;21.86;21.95;21.68
1.313;1313;2616;21.86;21.95;21.59
1.316;1316;2619;21.86;21.95;21.59
1.319;1319;2622;21.86;21.95;21.59
1.323;1323;2626;21.86;21.95;21.59
1.326;1326;2629;21.86;21.95;21.59
1.329;1329;2632;21.86;21.95;21.59
1.332;1332;2635;21.86;21.95;21.68
1.335;1335;2638;21.86;21.95;21.59
1.338;1338;2641;21.86;21.95;21.68
1.343;1343;2646;21.86;21.95;21.59
1.346;1346;2649;21.86;21.95;21.59
1.349;1349;2652;21.86;21.95;21.68
1.352;1352;2655;21.86;21.95;21.68
1.355;1355;2658;21.86;21.95;21.68
1.358;1358;2661;21.86;21.95;21.59
1.362;1362;2665;21.86;21.95;21.59
1.365;1365;2668;21.86;21.95;21.68
1.368;1368;2671;21.86;21.95;21.59
1.371;1371;2674;21.86;21.95;21.59
1.374;1374;2677;21.86;21.95;21.59
1.377;1377;2680;21.86;21.95;21.68
1.381;1381;2684;21.86;21.95;21.68
1.385;1385;2688;21.86;21.95;21.59
1.388;1388;2691;21.86;21.95;21.59
1.391;1391;2694;21.86;21.95;21.59
1.394;1394;2697;21.86;21.95;21.59
1.398;1398;2701;21.86;21.95;21.59
1.401;1401;2704;21.86;21.95;21.59
1.404;1404;2707;21.86;21.95;21.59
1.407;1407;2710;21.86;21.95;21.59
1.41;1410;2713;21.86;21.95;21.59
1.413;1413;2716;21.86;21.95;21.68
1.416;1416;2719;21.86;21.95;21.59
1.42;1420;2723;21.86;21.95;21.59
1.423;1423;2726;21.86;21.95;21.59
1.426;1426;2729;21.86;21.95;21.59
1.43;1430;2733;21.86;21.95;21.59
1.433;1433;2736;21.86;21.95;21.59
1.437;1437;2740;21.86;21.95;21.59
1.44;1440;2743;21.86;21.95;21.68
1.443;1443;2746;21.86;21.95;21.68
1.446;1446;2749;21.86;21.95;21.59
1.449;1449;2752;21.86;21.95;21.59
1.452;1452;2755;21.86;21.95;21.59
1.456;1456;2759;21.86;21.95;21.68
1.459;1459;2762;21.86;21.95;21.68
1.462;1462;2765;21.86;21.95;21.68
1.465;1465;2768;21.86;21.95;21.59
1.468;1468;2771;21.86;21.95;21.68
1.472;1472;2775;21.86;21.95;21.68
1.476;1476;2779;21.86;21.95;21.68
1.479;1479;2782;21.86;21.95;21.68
1.482;1482;2785;21.86;21.95;21.59
1.485;1485;2788;21.86;21.95;21.59
1.488;1488;2791;21.86;21.95;21.59
1.492;1492;2795;21.86;21.95;21.59
1.495;1495;2798;21.86;21.95;21.68
1.498;1498;2801;21.86;21.95;21.59
1.501;1501;2804;21.86;21.95;21.68
1.504;1504;2807;21.86;21.95;21.59
1.507;1507;2810;21.86;21.95;21.68
1.51;1510;2813;21.77;21.95;21.59
1.515;1515;2818;21.77;21.95;21.68
1.518;1518;2821;21.86;21.95;21.59
1.521;1521;2824;21.86;21.95;21.59
1.524;1524;2827;21.86;21.95;21.68
1.527;1527;2830;21.86;21.95;21.59
1.531;1531;2834;21.86;21.95;21.59
1.534;1534;2837;21.86;21.95;21.59
1.537;1537;2840;21.86;21.95;21.59
1.54;1540;2843;21.86;21.95;21.68
1.543;1543;2846;21.86;21.95;21.59
1.546;1546;2849;21.86;21.95;21.59
1.55;1550;2853;21.86;21.95;21.59
1.553;1553;2856;21.86;21.95;21.68
1.557;1557;2860;21.86;21.95;21.59
1.56;1560;2863;21.86;21.95;21.68
1.563;1563;2866;21.86;21.95;21.59
1.567;1567;2870;21.86;21.95;21.68
1.57;1570;2873;21.86;21.95;21.68
1.573;1573;2876;21.86;21.95;21.59
1.576;1576;2879;21.86;21.95;21.59
1.579;1579;2882;21.77;21.95;21.59
1.582;1582;2885;21.86;21.95;21.59
1.585;1585;2888;21.86;21.95;21.59
1.589;1589;2892;21.86;21.95;21.59
1.592;1592;2895;21.86;21.95;21.68
1.595;1595;2898;21.86;21.95;21.59
1.599;1599;2902;21.86;21.95;21.68
1.602;1602;2905;21.86;21.95;21.59
1.606;1606;2909;21.86;21.95;21.59
1.609;1609;2912;21.86;21.95;21.59
1.612;1612;2915;21.86;21.95;21.59
1.615;1615;2918;21.86;21.95;21.68
1.618;1618;2921;21.86;21.95;21.68
1.621;1621;2924;21.86;21.95;21.59
1.625;1625;2928;21.77;21.95;21.59
1.628;1628;2931;21.86;21.95;21.68
1.631;1631;2934;21.86;21.95;21.68
1.634;1634;2937;21.86;21.95;21.59
1.637;1637;2940;21.86;21.95;21.59
1.641;1641;2944;21.86;21.95;21.59
1.645;1645;2948;21.86;21.95;21.59
1.648;1648;2951;21.86;21.95;21.68
1.651;1651;2954;21.86;21.95;21.68
1.654;1654;2957;21.86;21.95;21.68
1.657;1657;2960;21.86;21.95;21.59
1.66;1660;2963;21.86;21.95;21.59
1.664;1664;2967;21.86;21.95;21.59
1.667;1667;2970;21.77;21.95;21.59
1.67;1670;2973;21.86;21.95;21.68
1.673;1673;2976;21.86;21.95;21.59
1.676;1676;2979;21.86;21.95;21.68
1.679;1679;2982;21.86;21.95;21.59
1.684;1684;2987;21.86;21.95;21.59
1.687;1687;2990;21.86;21.95;21.59
1.69;1690;2993;21.86;21.95;21.59
1.693;1693;2996;21.86;21.95;21.59
1.696;1696;2999;21.86;21.95;21.68
1.7;1700;3003;21.86;21.95;21.59
1.703;1703;3006;21.86;21.95;21.59
1.706;1706;3009;21.86;21.95;21.68
1.709;1709;3012;21.86;21.95;21.68
1.712;1712;3015;21.86;21.95;21.59
1.715;1715;3018;21.86;21.95;21.59
1.719;1719;3022;21.86;21.95;21.59
1.722;1722;3025;21.86;21.95;21.59
1.725;1725;3028;21.86;21.95;21.68
1.729;1729;3032;21.86;21.95;21.59
1.732;1732;3035;21.86;21.95;21.68
1.735;1735;3038;21.86;21.95;21.68
1.739;1739;3042;21.86;21.95;21.59
1.742;1742;3045;21.86;21.95;21.68
1.745;1745;3048;21.86;21.95;21.68
1.748;1748;3051;21.86;21.95;21.59
1.751;1751;3054;21.86;21.95;21.59
1.754;1754;3057;21.86;21.95;21.59
1.758;1758;3061;21.86;21.95;21.59
1.761;1761;3064;21.86;21.95;21.68
1.764;1764;3067;21.86;21.95;21.68
1.767;1767;3070;21.86;21.95;21.59
1.771;1771;3074;21.86;21.95;21.59
1.775;1775;3078;21.86;21.95;21.68
1.778;1778;3081;21.86;21.95;21.59
1.781;1781;3084;21.86;21.95;21.68
1.784;1784;3087;21.86;21.95;21.68
1.787;1787;3090;21.86;21.95;21.59
1.79;1790;3093;21.86;21.95;21.59
1.794;1794;3097;21.86;21.95;21.68
1.797;1797;3100;21.86;21.95;21.59
1.8;1800;3103;21.86;21.95;21.59
1.803;1803;3106;21.86;21.95;21.68
1.806;1806;3109;21.86;21.95;21.68
1.809;1809;3112;21.86;21.95;21.68
1.814;1814;3117;21.86;21.95;21.59
1.817;1817;3120;21.86;21.95;21.59
1.82;1820;3123;21.86;21.95;21.68
1.823;1823;3126;21.86;21.95;21.68
1.826;1826;3129;21.86;21.95;21.59
1.829;1829;3132;21.86;21.95;21.59
1.833;1833;3136;21.86;21.95;21.68
1.836;1836;3139;21.86;21.95;21.59
1.839;1839;3142;21.77;21.95;21.59
1.842;1842;3145;21.86;21.95;21.68
1.845;1845;3148;21.86;21.95;21.59
1.848;1848;3151;21.86;21.95;21.68
1.852;1852;3155;21.86;21.95;21.59
1.856;1856;3159;21.86;21.95;21.59
1.859;1859;3162;21.86;21.95;21.59
1.862;1862;3165;21.86;21.95;21.59
1.865;1865;3168;21.86;21.95;21.59
1.869;1869;3172;21.86;21.95;21.59
1.872;1872;3175;21.86;21.95;21.59
1.875;1875;3178;21.86;21.95;21.68
1.878;1878;3181;21.86;21.95;21.59
1.881;1881;3184;21.86;21.95;21.68
1.884;1884;3187;21.86;21.95;21.59
1.888;1888;3191;21.77;21.95;21.68
1.891;1891;3194;21.86;21.95;21.68
1.894;1894;3197;21.86;21.95;21.59
1.898;1898;3201;21.86;21.95;21.59
1.901;1901;3204;21.77;21.95;21.59
1.905;1905;3208;21.86;21.95;21.68
1.908;1908;3211;21.86;21.95;21.59
1.911;1911;3214;21.86;21.95;21.68
1.914;1914;3217;21.86;21.95;21.59
1.917;1917;3220;21.86;21.95;21.68
1.92;1920;3223;21.86;21.95;21.68
1.924;1924;3227;21.86;21.95;21.68
1.927;1927;3230;21.86;21.95;21.68
1.93;1930;3233;21.86;21.95;21.59
1.933;1933;3236;21.86;21.95;21.59
1.936;1936;3239;21.86;21.95;21.59
1.94;1940;3243;21.86;21.95;21.68
1.944;1944;3247;21.86;21.95;21.59
1.947;1947;3250;21.86;21.95;21.68
1.95;1950;3253;21.86;21.95;21.68
1.953;1953;3256;21.86;21.95;21.59
1.956;1956;3259;21.86;21.95;21.59
1.959;1959;3262;21.86;21.95;21.59
1.963;1963;3266;21.86;21.95;21.68
1.966;1966;3269;21.86;21.95;21.59
1.969;1969;3272;21.86;21.95;21.68
1.972;1972;3275;21.86;21.95;21.59
1.975;1975;3278;21.86;21.95;21.59
1.978;1978;3281;21.86;21.95;21.68
1.983;1983;3286;21.86;21.95;21.59
1.986;1986;3289;21.86;21.95;21.68
1.989;1989;3292;21.86;21.95;21.68
1.992;1992;3295;21.86;21.95;21.59
1.995;1995;3298;21.86;21.95;21.59
1.999;1999;3302;21.86;21.95;21.68
2.002;2002;3305;21.86;21.95;21.68
2.005;2005;3308;21.86;21.95;21.68
2.008;2008;3311;21.86;21.95;21.59
2.011;2011;3314;21.86;21.95;21.68
2.014;2014;3317;21.86;21.95;21.59
2.017;2017;3320;21.86;21.95;21.59
2.021;2021;3324;21.86;21.95;21.59
2.025;2025;3328;21.86;21.95;21.59
2.028;2028;3331;21.86;21.95;21.59
2.031;2031;3334;21.86;21.95;21.68
2.034;2034;3337;21.86;21.95;21.68
2.038;2038;3341;21.86;21.95;21.59
2.041;2041;3344;21.86;21.95;21.68
2.044;2044;3347;21.86;21.95;21.59
2.047;2047;3350;21.86;21.95;21.59
2.05;2050;3353;21.86;21.95;21.59
2.053;2053;3356;21.86;21.95;21.59
2.057;2057;3360;21.86;21.95;21.68
2.06;2060;3363;21.77;21.95;21.59
2.063;2063;3366;21.86;21.95;21.59
2.066;2066;3369;21.86;21.95;21.59
2.07;2070;3373;21.86;21.95;21.59
2.073;2073;3376;21.86;21.95;21.59
2.077;2077;3380;21.86;21.95;21.59
2.08;2080;3383;21.86;21.95;21.59
2.083;2083;3386;21.86;21.95;21.68
2.086;2086;3389;21.86;21.95;21.59
2.089;2089;3392;21.86;21.95;21.59
2.092;2092;3395;21.86;21.95;21.59
2.096;2096;3399;21.86;21.95;21.59
2.099;2099;3402;21.86;21.95;21.59
2.102;2102;3405;21.86;21.95;21.59
2.105;2105;3408;21.86;21.95;21.68
