temps (s);temps (ms);temps;ACTU;MILIEU;LASER
0;0;1315;22.12;22.21;21.95
0.003;3;1318;22.12;22.21;21.95
0.008;8;1323;22.12;22.21;21.95
0.011;11;1326;22.12;22.21;21.95
0.014;14;1329;22.12;22.21;21.95
0.017;17;1332;22.12;22.21;21.86
0.02;20;1335;22.12;22.21;21.86
0.023;23;1338;22.12;22.21;21.95
0.027;27;1342;22.12;22.21;21.95
0.03;30;1345;22.12;22.21;21.95
0.033;33;1348;22.12;22.12;21.95
0.036;36;1351;22.12;22.21;21.95
0.039;39;1354;22.12;22.21;21.95
0.042;42;1357;22.12;22.21;21.95
0.046;46;1361;22.12;22.21;21.95
0.049;49;1364;22.12;22.21;21.95
0.053;53;1368;22.12;22.21;21.95
0.056;56;1371;22.12;22.21;21.95
0.059;59;1374;22.12;22.21;21.95
0.063;63;1378;22.12;22.21;21.95
0.066;66;1381;22.12;22.12;21.95
0.069;69;1384;22.12;22.21;21.86
0.072;72;1387;22.12;22.21;21.95
0.075;75;1390;22.12;22.21;21.95
0.078;78;1393;22.12;22.21;21.95
0.082;82;1397;22.12;22.21;21.95
0.085;85;1400;22.12;22.21;21.95
0.088;88;1403;22.12;22.21;21.86
0.091;91;1406;22.12;22.21;21.95
0.095;95;1410;22.12;22.21;21.95
0.099;99;1414;22.12;22.21;21.86
0.102;102;1417;22.12;22.21;21.86
0.105;105;1420;22.12;22.21;21.95
0.108;108;1423;22.12;22.21;21.86
0.111;111;1426;22.12;22.21;21.95
0.114;114;1429;22.12;22.21;21.95
0.118;118;1433;22.12;22.21;21.95
0.121;121;1436;22.12;22.21;21.95
0.124;124;1439;22.12;22.21;21.95
0.127;127;1442;22.12;22.21;21.86
0.13;130;1445;22.12;22.21;21.95
0.133;133;1448;22.12;22.21;21.95
0.138;138;1453;22.12;22.21;21.95
0.141;141;1456;22.12;22.21;21.95
0.144;144;1459;22.12;22.21;21.95
0.147;147;1462;22.12;22.21;21.95
0.15;150;1465;22.12;22.21;21.95
0.154;154;1469;22.12;22.21;21.95
0.157;157;1472;22.12;22.21;21.95
0.16;160;1475;22.12;22.21;21.95
0.163;163;1478;22.12;22.21;21.95
0.166;166;1481;22.12;22.21;21.95
0.169;169;1484;22.12;22.12;21.95
0.173;173;1488;22.12;22.21;21.86
0.176;176;1491;22.12;22.21;21.95
0.18;180;1495;22.12;22.21;21.95
0.183;183;1498;22.12;22.21;21.95
0.186;186;1501;22.12;22.21;21.95
0.19;190;1505;22.12;22.21;21.86
0.193;193;1508;22.12;22.21;21.95
0.196;196;1511;22.12;22.21;21.95
0.199;199;1514;22.12;22.21;21.95
0.202;202;1517;22.12;22.21;21.95
0.205;205;1520;22.12;22.21;21.95
0.209;209;1524;22.12;22.21;21.95
0.212;212;1527;22.12;22.21;21.95
0.215;215;1530;22.12;22.21;21.95
0.218;218;1533;22.12;22.21;21.86
0.222;222;1537;22.12;22.21;21.95
0.226;226;1541;22.12;22.21;21.95
0.229;229;1544;22.12;22.21;21.95
0.232;232;1547;22.12;22.21;21.86
0.235;235;1550;22.12;22.21;21.95
0.238;238;1553;22.12;22.12;21.95
0.241;241;1556;22.12;22.21;21.95
0.245;245;1560;22.12;22.21;21.95
0.248;248;1563;22.12;22.21;21.95
0.251;251;1566;22.12;22.21;21.95
0.254;254;1569;22.12;22.21;21.95
0.257;257;1572;22.12;22.21;21.95
0.26;260;1575;22.12;22.21;21.86
0.265;265;1580;22.12;22.21;21.86
0.268;268;1583;22.12;22.21;21.95
0.271;271;1586;22.12;22.21;21.86
0.274;274;1589;22.12;22.21;21.95
0.277;277;1592;22.12;22.21;21.95
0.281;281;1596;22.12;22.21;21.95
0.284;284;1599;22.12;22.21;21.95
0.287;287;1602;22.12;22.21;21.95
0.29;290;1605;22.12;22.21;21.95
0.293;293;1608;22.12;22.21;21.86
0.296;296;1611;22.12;22.21;21.95
0.3;300;1615;22.12;22.21;21.95
0.303;303;1618;22.12;22.21;21.95
0.307;307;1622;22.12;22.21;21.95
0.31;310;1625;22.12;22.21;21.95
0.313;313;1628;22.12;22.21;21.95
0.317;317;1632;22.12;22.21;21.95
0.32;320;1635;22.12;22.21;21.95
0.323;323;1638;22.12;22.21;21.95
0.326;326;1641;22.12;22.21;21.86
0.329;329;1644;22.12;22.21;21.95
0.332;332;1647;22.12;22.21;21.95
0.336;336;1651;22.12;22.21;21.95
0.339;339;1654;22.12;22.21;21.95
0.342;342;1657;22.12;22.21;21.95
0.345;345;1660;22.12;22.21;21.95
0.349;349;1664;22.12;22.21;21.95
0.352;352;1667;22.12;22.21;21.86
0.356;356;1671;22.12;22.21;21.95
0.359;359;1674;22.12;22.21;21.86
0.362;362;1677;22.12;22.21;21.95
0.365;365;1680;22.12;22.21;21.95
0.368;368;1683;22.12;22.21;21.95
0.371;371;1686;22.12;22.21;21.95
0.375;375;1690;22.12;22.21;21.95
0.378;378;1693;22.12;22.21;21.86
0.381;381;1696;22.12;22.21;21.95
0.384;384;1699;22.12;22.21;21.95
0.387;387;1702;22.12;22.21;21.95
0.39;390;1705;22.12;22.21;21.95
0.395;395;1710;22.12;22.21;21.95
0.398;398;1713;22.12;22.21;21.95
0.401;401;1716;22.12;22.21;21.95
0.404;404;1719;22.12;22.21;21.95
0.407;407;1722;22.12;22.21;21.86
0.411;411;1726;22.12;22.21;21.95
0.414;414;1729;22.12;22.21;21.95
0.417;417;1732;22.12;22.21;21.86
0.42;420;1735;22.12;22.21;21.95
0.423;423;1738;22.12;22.21;21.95
0.426;426;1741;22.12;22.21;21.95
0.43;430;1745;22.12;22.21;21.95
0.433;433;1748;22.12;22.21;21.95
0.437;437;1752;22.12;22.21;21.95
0.44;440;1755;22.12;22.21;21.95
0.443;443;1758;22.12;22.21;21.95
0.447;447;1762;22.12;22.21;21.95
0.45;450;1765;22.12;22.21;21.86
0.453;453;1768;22.12;22.21;21.95
0.456;456;1771;22.12;22.21;21.95
0.459;459;1774;22.12;22.21;21.95
0.462;462;1777;22.12;22.21;21.95
0.466;466;1781;22.12;22.21;21.86
0.469;469;1784;22.12;22.21;21.95
0.472;472;1787;22.12;22.21;21.95
0.475;475;1790;22.12;22.21;21.95
0.479;479;1794;22.12;22.21;21.95
0.483;483;1798;22.12;22.21;21.95
0.486;486;1801;22.12;22.21;21.86
0.489;489;1804;22.12;22.21;21.95
0.492;492;1807;22.12;22.21;21.86
0.495;495;1810;22.12;22.21;21.95
0.498;498;1813;22.12;22.21;21.95
0.502;502;1817;22.12;22.21;21.86
0.505;505;1820;22.12;22.21;21.95
0.508;508;1823;22.12;22.21;21.95
0.511;511;1826;22.12;22.21;21.86
0.514;514;1829;22.12;22.21;21.86
0.517;517;1832;22.21;22.21;21.95
0.522;522;1837;22.12;22.21;21.95
0.525;525;1840;22.12;22.21;21.86
0.528;528;1843;22.12;22.21;21.95
0.531;531;1846;22.12;22.21;21.95
0.534;534;1849;22.12;22.21;21.86
0.538;538;1853;22.12;22.21;21.86
0.541;541;1856;22.12;22.21;21.95
0.544;544;1859;22.12;22.21;21.95
0.547;547;1862;22.12;22.21;21.95
0.55;550;1865;22.12;22.21;21.86
0.553;553;1868;22.12;22.21;21.95
0.557;557;1872;22.12;22.21;21.86
0.56;560;1875;22.12;22.21;21.95
0.564;564;1879;22.12;22.21;21.95
0.567;567;1882;22.12;22.21;21.95
0.57;570;1885;22.12;22.21;21.95
0.574;574;1889;22.12;22.21;21.95
0.577;577;1892;22.12;22.21;21.86
0.58;580;1895;22.12;22.21;21.86
0.583;583;1898;22.12;22.21;21.95
0.586;586;1901;22.12;22.21;21.95
0.589;589;1904;22.12;22.21;21.86
0.593;593;1908;22.12;22.21;21.86
0.596;596;1911;22.12;22.21;21.95
0.599;599;1914;22.12;22.21;21.95
0.602;602;1917;22.12;22.21;21.95
0.606;606;1921;22.12;22.21;21.86
0.61;610;1925;22.12;22.21;21.95
0.613;613;1928;22.12;22.21;21.95
0.616;616;1931;22.12;22.21;21.86
0.619;619;1934;22.12;22.21;21.95
0.622;622;1937;22.12;22.21;21.95
0.625;625;1940;22.12;22.21;21.86
0.629;629;1944;22.12;22.21;21.95
0.632;632;1947;22.12;22.21;21.95
0.635;635;1950;22.12;22.21;21.95
0.638;638;1953;22.12;22.21;21.86
0.641;641;1956;22.12;22.21;21.95
0.644;644;1959;22.12;22.21;21.95
0.649;649;1964;22.12;22.21;21.86
0.652;652;1967;22.12;22.21;21.95
0.655;655;1970;22.12;22.21;21.95
0.658;658;1973;22.12;22.21;21.95
0.661;661;1976;22.12;22.21;21.95
0.664;664;1979;22.12;22.21;21.86
0.668;668;1983;22.21;22.21;21.95
0.671;671;1986;22.12;22.21;21.95
0.674;674;1989;22.12;22.21;21.86
0.677;677;1992;22.12;22.21;21.86
0.68;680;1995;22.12;22.21;21.95
0.683;683;1998;22.12;22.21;21.95
0.687;687;2002;22.12;22.21;21.95
0.691;691;2006;22.12;22.21;21.95
0.694;694;2009;22.12;22.21;21.95
0.697;697;2012;22.12;22.21;21.86
0.7;700;2015;22.12;22.21;21.95
0.704;704;2019;22.12;22.21;21.86
0.707;707;2022;22.12;22.21;21.95
0.71;710;2025;22.12;22.21;21.95
0.713;713;2028;22.12;22.21;21.86
0.716;716;2031;22.12;22.21;21.95
0.719;719;2034;22.12;22.21;21.86
0.723;723;2038;22.12;22.21;21.95
0.726;726;2041;22.12;22.21;21.95
0.729;729;2044;22.12;22.21;21.95
0.733;733;2048;22.12;22.21;21.95
0.736;736;2051;22.12;22.21;21.95
0.74;740;2055;22.12;22.21;21.95
0.743;743;2058;22.12;22.21;21.86
0.746;746;2061;22.12;22.21;21.95
0.749;749;2064;22.12;22.21;21.86
0.752;752;2067;22.12;22.21;21.95
0.755;755;2070;22.12;22.21;21.95
0.759;759;2074;22.12;22.21;21.95
0.762;762;2077;22.12;22.21;21.95
0.765;765;2080;22.12;22.21;21.95
0.768;768;2083;22.12;22.21;21.95
0.771;771;2086;22.12;22.21;21.95
0.774;774;2089;22.12;22.21;21.95
0.779;779;2094;22.12;22.21;21.86
0.782;782;2097;22.12;22.21;21.86
0.785;785;2100;22.12;22.21;21.95
0.788;788;2103;22.12;22.21;21.95
0.791;791;2106;22.12;22.21;21.95
0.795;795;2110;22.12;22.21;21.95
0.798;798;2113;22.12;22.21;21.95
0.801;801;2116;22.12;22.21;21.95
0.804;804;2119;22.12;22.21;21.95
0.807;807;2122;22.12;22.21;21.95
0.81;810;2125;22.12;22.21;21.95
0.814;814;2129;22.12;22.21;21.95
0.817;817;2132;22.12;22.21;21.95
0.821;821;2136;22.12;22.21;21.95
0.824;824;2139;22.12;22.21;21.95
0.827;827;2142;22.12;22.21;21.95
0.831;831;2146;22.12;22.21;21.95
0.834;834;2149;22.12;22.21;21.95
0.837;837;2152;22.12;22.21;21.86
0.84;840;2155;22.12;22.21;21.95
0.843;843;2158;22.12;22.21;21.95
0.846;846;2161;22.21;22.21;21.95
0.85;850;2165;22.12;22.21;21.95
0.853;853;2168;22.12;22.21;21.95
0.856;856;2171;22.12;22.21;21.95
0.859;859;2174;22.12;22.12;21.95
0.863;863;2178;22.12;22.21;21.86
0.867;867;2182;22.12;22.21;21.86
0.87;870;2185;22.12;22.21;21.95
0.873;873;2188;22.12;22.21;21.95
0.876;876;2191;22.12;22.12;21.95
0.879;879;2194;22.12;22.21;21.95
0.882;882;2197;22.12;22.21;21.95
0.886;886;2201;22.12;22.21;21.86
0.889;889;2204;22.12;22.21;21.86
0.892;892;2207;22.12;22.21;21.95
0.895;895;2210;22.12;22.21;21.95
0.898;898;2213;22.12;22.21;21.95
0.901;901;2216;22.12;22.21;21.95
0.906;906;2221;22.12;22.21;21.95
0.909;909;2224;22.12;22.21;21.95
0.912;912;2227;22.12;22.21;21.86
0.915;915;2230;22.12;22.21;21.95
0.918;918;2233;22.12;22.21;21.95
0.922;922;2237;22.12;22.21;21.86
0.925;925;2240;22.12;22.21;21.95
0.928;928;2243;22.12;22.21;21.95
0.931;931;2246;22.12;22.21;21.95
0.934;934;2249;22.12;22.21;21.86
0.937;937;2252;22.12;22.21;21.95
0.941;941;2256;22.12;22.21;21.95
0.944;944;2259;22.12;22.21;21.86
0.948;948;2263;22.12;22.21;21.86
0.951;951;2266;22.12;22.21;21.95
0.954;954;2269;22.12;22.21;21.86
0.958;958;2273;22.12;22.21;21.86
0.961;961;2276;22.12;22.21;21.86
0.964;964;2279;22.12;22.21;21.86
0.967;967;2282;22.12;22.21;21.86
0.97;970;2285;22.12;22.21;21.86
0.973;973;2288;22.12;22.21;21.95
