temps (s);temps;ACTU;MILIEU;LASER;TENSION_ACTU;TENSION_MILIEU;TENSION_LASER;DUTY CYCLE; u=-0.10770V; I=-0.123A
172;173.99;22.47;23.00;22.92;2.64;2.61;2.61;1700,00;;
174;175.99;22.47;23.00;22.92;2.64;2.61;2.61;1700,00;;
176;177.99;22.39;23.00;22.92;2.64;2.61;2.61;1700,00;;
178;179.99;22.47;23.00;22.92;2.64;2.61;2.61;1700,00;;
180;181.99;22.47;23.00;22.92;2.64;2.61;2.61;1700,00;;
182;183.99;22.39;23.00;22.92;2.64;2.61;2.61;1700,00;;
184;185.99;22.39;22.92;22.92;2.64;2.61;2.61;1700,00;;
186;187.99;22.39;23.00;22.83;2.64;2.61;2.61;1700,00;;
188;189.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
190;191.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
192;193.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
194;195.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
196;197.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
198;199.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
200;201.99;22.39;22.92;22.83;2.64;2.61;2.61;1700,00;;
202;203.99;22.3;22.83;22.83;2.65;2.62;2.62;1700,00;;
204;205.99;22.3;22.92;22.83;2.65;2.61;2.61;1700,00;;
206;207.99;22.3;22.83;22.65;2.65;2.62;2.62;1700,00;;
208;209.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
210;211.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
212;213.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
214;215.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
216;217.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
218;219.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
220;221.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
222;223.99;22.21;22.74;22.74;2.65;2.62;2.62;1700,00;;
224;225.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
226;227.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
228;229.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
230;231.99;22.3;22.83;22.74;2.65;2.62;2.62;1700,00;;
232;233.99;22.21;22.83;22.65;2.65;2.62;2.62;1700,00;;
234;235.98;22.3;22.83;22.65;2.65;2.62;2.62;1700,00;;
236;237.98;22.3;22.74;22.65;2.65;2.62;2.62;1700,00;;
238;239.98;22.21;22.74;22.65;2.65;2.62;2.62;1700,00;;
240;241.98;22.21;22.74;22.65;2.65;2.62;2.62;1700,00;;
242;243.98;22.21;22.74;22.65;2.65;2.62;2.62;1700,00;;
244;245.98;22.21;22.74;22.65;2.65;2.62;2.62;1700,00;;
246;247.98;22.21;22.74;22.65;2.65;2.62;2.62;1700,00;;
248;249.98;22.21;22.74;22.65;2.65;2.62;2.62;1700,00;;
250;251.98;22.12;22.74;22.65;2.66;2.62;2.62;1700,00;;
252;253.98;22.21;22.65;22.65;2.65;2.63;2.63;1700,00;;
254;255.98;22.12;22.74;22.65;2.66;2.62;2.62;1700,00;;
256;257.98;22.21;22.74;22.65;2.65;2.62;2.62;1700,00;;
258;259.98;22.21;22.74;22.65;2.65;2.62;2.62;1700,00;;
260;261.98;22.21;22.65;22.65;2.65;2.63;2.63;1700,00;;
262;263.98;22.12;22.74;22.65;2.66;2.62;2.62;1700,00;;
264;265.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
266;267.98;22.12;22.74;22.56;2.66;2.62;2.62;1700,00;;
268;269.98;22.21;22.65;22.65;2.65;2.63;2.63;1700,00;;
270;271.98;22.21;22.65;22.56;2.65;2.63;2.63;1700,00;;
272;273.98;22.12;22.74;22.56;2.66;2.62;2.62;1700,00;;
274;275.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
276;277.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
278;279.98;22.21;22.65;22.56;2.65;2.63;2.63;1700,00;;
280;281.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
282;283.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
284;285.98;22.21;22.65;22.56;2.65;2.63;2.63;1700,00;;
286;287.98;22.21;22.65;22.56;2.65;2.63;2.63;1700,00;;
288;289.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
290;291.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
292;293.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
294;295.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
296;297.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
298;299.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
300;301.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
302;303.98;22.21;22.65;22.56;2.65;2.63;2.63;1700,00;;
304;305.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
306;307.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
308;309.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
310;311.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
312;313.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
314;315.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
316;317.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
318;319.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
320;321.98;22.12;22.56;22.56;2.66;2.63;2.63;1700,00;;
322;323.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
324;325.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
326;327.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
328;329.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
330;331.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
332;333.98;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
334;335.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
336;337.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
338;339.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
340;341.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
342;343.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
344;345.98;22.12;22.56;22.56;2.66;2.63;2.63;1700,00;;
346;347.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
348;349.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
350;351.98;22.21;22.65;22.56;2.65;2.63;2.63;1700,00;;
352;353.98;22.12;22.56;22.56;2.66;2.63;2.63;1700,00;;
354;355.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
356;357.98;22.12;22.65;22.56;2.66;2.63;2.63;1700,00;;
358;359.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
360;361.98;22.21;22.65;22.56;2.65;2.63;2.63;1700,00;;
362;363.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
364;365.98;22.12;22.56;22.56;2.66;2.63;2.63;1700,00;;
366;367.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
368;369.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
370;371.98;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
372;373.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
374;375.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
376;377.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
378;379.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
380;381.98;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
382;383.98;22.12;22.56;22.39;2.66;2.63;2.63;1700,00;;
384;385.98;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
386;387.98;22.12;22.65;22.47;2.66;2.63;2.63;1700,00;;
388;389.98;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
390;391.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
392;393.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
394;395.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
396;397.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
398;399.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
400;401.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
402;403.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
404;405.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
406;407.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
408;409.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
410;411.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
412;413.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
414;415.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
416;417.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
418;419.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
420;421.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
422;423.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
424;425.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
426;427.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
428;429.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
430;431.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
432;433.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
434;435.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
436;437.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
438;439.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
440;441.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
442;443.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
444;445.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
446;447.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
448;449.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
450;451.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
452;453.97;22.03;22.56;22.39;2.66;2.63;2.63;1700,00;;
454;455.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
456;457.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
458;459.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
460;461.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
462;463.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
464;465.97;22.03;22.47;22.47;2.66;2.64;2.64;1700,00;;
466;467.97;22.03;22.47;22.47;2.66;2.64;2.64;1700,00;;
468;469.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
470;471.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
472;473.97;22.12;22.47;22.47;2.66;2.64;2.64;1700,00;;
474;475.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
476;477.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
478;479.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
480;481.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
482;483.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
484;485.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
486;487.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
488;489.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
490;491.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
492;493.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
494;495.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
496;497.97;22.03;22.47;22.47;2.66;2.64;2.64;1700,00;;
498;499.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
500;501.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
502;503.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
504;505.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
506;507.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
508;509.97;22.03;22.47;22.47;2.66;2.64;2.64;1700,00;;
510;511.97;22.12;22.56;22.47;2.66;2.63;2.63;1700,00;;
512;513.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
514;515.97;22.03;22.56;22.47;2.66;2.63;2.63;1700,00;;
