Temps (s),Température Thermistance 1 (K),Température Thermistance 2 (K),Température Thermistance Laser (K),Énergie Interne (J)
0.0,24.32121932632225,24.32000000000005,24.32000000000005,8512.343430427225
0.001,24.322438649603384,24.32000000000005,24.32000000000005,8512.34438864706
0.002,24.323657969843396,24.32000000000005,24.32000000000005,8512.3453468645
0.003,24.32487728704234,24.32000000000005,24.32000000000005,8512.346305079553
0.004,24.32609660120022,24.32000000000005,24.32000000000005,8512.347263292215
0.005,24.327315912317033,24.32000000000005,24.32000000000005,8512.348221502487
0.006,24.32853522039278,24.32000000000005,24.32000000000005,8512.349179710369
0.007,24.329754525409783,24.32000000000005,24.32000000000005,8512.350137915864
0.008,24.330973827279195,24.32000000000005,24.32000000000005,8512.35109611897
0.009000000000000001,24.332193125739195,24.32000000000005,24.32000000000005,8512.35205431968
0.01,24.33341242020174,24.32000000000005,24.32000000000005,8512.353012518006
0.011,24.334631709551275,24.32000000000005,24.32000000000005,8512.353970713937
0.012,24.3358509919031,24.32000000000005,24.32000000000005,8512.354928907482
0.013000000000000001,24.3370702643345,24.32000000000005,24.32000000000005,8512.355887098638
0.014,24.338289522600917,24.32000000000005,24.32000000000005,8512.3568452874
0.015,24.339508760850777,24.32000000000005,24.32000000000005,8512.357803473777
0.016,24.34072797135059,24.32000000000005,24.32000000000005,8512.358761657759
0.017,24.34194714423029,24.32000000000005,24.32000000000005,8512.359719839356
0.018000000000000002,24.343166267257175,24.32000000000005,24.32000000000005,8512.36067801856
0.019,24.34438532564394,24.32000000000005,24.32000000000005,8512.361636195377
0.02,24.345604301894753,24.32000000000005,24.32000000000005,8512.362594369803
0.021,24.346823175691554,24.32000000000005,24.32000000000005,8512.36355254184
0.022,24.348041923820404,24.32000000000005,24.32000000000005,8512.364510711486
0.023,24.349260520137193,24.32000000000005,24.32000000000005,8512.36546887874
0.024,24.350478935570663,24.32000000000005,24.32000000000005,8512.366427043607
0.025,24.351697138159977,24.32000000000005,24.32000000000005,8512.367385206084
0.026000000000000002,24.352915093123613,24.32000000000005,24.32000000000005,8512.368343366172
0.027,24.354132762955714,24.32000000000005,24.32000000000005,8512.36930152387
0.028,24.3553501075462,24.32000000000005,24.32000000000005,8512.370259679179
0.029,24.35656708432134,24.32000000000005,24.32000000000005,8512.371217832095
0.03,24.357783648400073,24.32000000000005,24.32000000000005,8512.372175982624
0.031,24.358999752763793,24.32000000000005,24.32000000000005,8512.37313413076
0.032,24.360215348434963,24.32000000000005,24.32000000000005,8512.374092276512
0.033,24.36143038466281,24.32000000000005,24.32000000000005,8512.37505041987
0.034,24.36264480911251,24.32000000000005,24.32000000000005,8512.376008560837
0.035,24.363858568055775,24.32000000000005,24.32000000000005,8512.376966699418
0.036000000000000004,24.36507160656072,24.32000000000005,24.32000000000005,8512.377924835608
0.037,24.36628386867892,24.32000000000005,24.32000000000005,8512.37888296941
0.038,24.367495297628466,24.32000000000005,24.32000000000005,8512.37984110082
0.039,24.36870583597147,24.32000000000005,24.32000000000005,8512.380799229839
0.04,24.369915425785052,24.32000000000005,24.32000000000005,8512.38175735647
0.041,24.371124008825007,24.32000000000005,24.32000000000005,8512.382715480711
0.042,24.37233152668125,24.32000000000005,24.32000000000005,8512.383673602564
0.043000000000000003,24.373537920925003,24.32000000000005,24.32000000000005,8512.384631722027
0.044,24.37474313324708,24.32000000000005,24.32000000000005,8512.385589839096
0.045,24.37594710558733,24.32000000000005,24.32000000000005,8512.386547953778
0.046,24.377149780254683,24.32000000000005,24.32000000000005,8512.38750606607
0.047,24.3783511000388,24.32000000000005,24.32000000000005,8512.38846417597
0.048,24.37955100831232,24.32000000000005,24.32000000000005,8512.389422283482
0.049,24.38074944912455,24.32000000000005,24.32000000000005,8512.390380388606
0.05,24.381946367286957,24.32000000000005,24.32000000000005,8512.391338491336
0.051000000000000004,24.38314170845024,24.32000000000005,24.32000000000005,8512.392296591679
0.052000000000000005,24.38433541917368,24.32000000000005,24.32000000000005,8512.39325468963
0.053,24.385527446986885,24.32000000000005,24.32000000000005,8512.394212785193
0.054,24.386717740444738,24.32000000000005,24.32000000000005,8512.395170878364
0.055,24.387906249174932,24.32000000000005,24.32000000000005,8512.396128969147
0.056,24.38909292392009,24.32000000000005,24.32000000000005,8512.39708705754
0.057,24.39027771657294,24.32000000000005,24.32000000000005,8512.398045143538
0.058,24.39146058020657,24.32000000000005,24.32000000000005,8512.39900322715
0.059000000000000004,24.39264146909909,24.32000000000005,24.32000000000005,8512.399961308369
0.06,24.393820338753642,24.32000000000005,24.32000000000005,8512.4009193872
0.061,24.394997145913635,24.32000000000005,24.32000000000005,8512.40187746364
0.062,24.396171848574056,24.32000000000005,24.32000000000005,8512.402835537692
0.063,24.397344405988747,24.32000000000005,24.32000000000005,8512.403793609348
0.064,24.398514778674382,24.32000000000005,24.32000000000005,8512.404751678616
0.065,24.39968292841087,24.32000000000005,24.32000000000005,8512.405709745495
0.066,24.400848818239126,24.32000000000005,24.32000000000005,8512.406667809983
0.067,24.402012412455974,24.32000000000005,24.32000000000005,8512.407625872076
0.068,24.403173676606684,24.32000000000005,24.32000000000005,8512.408583931783
0.069,24.40433257747526,24.32000000000005,24.32000000000005,8512.409541989098
0.07,24.40548908307278,24.32000000000005,24.32000000000005,8512.41050004402
0.07100000000000001,24.406643162624107,24.32000000000005,24.32000000000005,8512.411458096554
0.07200000000000001,24.407794786552756,24.32000000000005,24.32000000000005,8512.412416146692
0.073,24.40894392646453,24.32000000000005,24.32000000000005,8512.413374194444
0.074,24.41009055513007,24.32000000000005,24.32000000000005,8512.414332239803
0.075,24.411234646466028,24.32000000000005,24.32000000000005,8512.41529028277
0.076,24.41237617551559,24.32000000000005,24.32000000000005,8512.416248323349
0.077,24.41351511842805,24.32000000000005,24.32000000000005,8512.417206361531
0.078,24.414651452437738,24.32000000000005,24.32000000000005,8512.418164397324
0.079,24.41578515584257,24.32000000000005,24.32000000000005,8512.419122430725
0.08,24.416916207981956,24.32000000000005,24.32000000000005,8512.420080461736
0.081,24.418044589214162,24.32000000000005,24.32000000000005,8512.42103849035
0.082,24.419170280894036,24.32000000000005,24.32000000000005,8512.421996516578
0.083,24.420293265349926,24.32000000000005,24.32000000000005,8512.422954540412
0.084,24.421413525860714,24.32000000000005,24.32000000000005,8512.423912561853
0.085,24.422531046632912,24.32000000000005,24.32000000000005,8512.424870580904
0.08600000000000001,24.423645812777465,24.32000000000005,24.32000000000005,8512.425828597561
0.08700000000000001,24.424757810286962,24.32000000000005,24.32000000000005,8512.426786611824
0.088,24.425867026012668,24.32000000000005,24.32000000000005,8512.427744623696
0.089,24.426973447641956,24.32000000000005,24.32000000000005,8512.428702633177
0.09,24.428077063675573,24.32000000000005,24.32000000000005,8512.429660640264
0.091,24.429177863405528,24.32000000000005,24.32000000000005,8512.43061864496
0.092,24.430275836892918,24.32000000000005,24.32000000000005,8512.431576647261
0.093,24.431370974946333,24.32000000000005,24.32000000000005,8512.432534647169
0.094,24.43246326910014,24.32000000000005,24.32000000000005,8512.433492644683
0.095,24.433552711593677,24.32000000000005,24.32000000000005,8512.434450639805
0.096,24.43463929535011,24.32000000000005,24.32000000000005,8512.435408632535
0.097,24.435723013956192,24.32000000000005,24.32000000000005,8512.436366622871
0.098,24.436803861641977,24.32000000000005,24.32000000000005,8512.437324610812
0.099,24.437881833261486,24.32000000000005,24.32000000000005,8512.438282596358
0.1,24.43895692427293,24.32000000000005,24.32000000000005,8512.439240579513
0.101,24.44002913072012,24.32000000000005,24.32000000000005,8512.440198560274
0.10200000000000001,24.44109844921377,24.32000000000005,24.32000000000005,8512.44115653864
0.10300000000000001,24.442164876913296,24.32000000000005,24.32000000000005,8512.442114514612
0.10400000000000001,24.443228411509267,24.32000000000005,24.32000000000005,8512.443072488191
0.105,24.444289051205942,24.32000000000005,24.32000000000005,8512.444030459377
0.106,24.44534679470445,24.32000000000005,24.32000000000005,8512.444988428166
0.107,24.446401641186185,24.32000000000005,24.32000000000005,8512.445946394562
0.108,24.447453590296618,24.32000000000005,24.32000000000005,8512.44690435856
0.109,24.448502642129654,24.32000000000005,24.32000000000005,8512.447862320165
0.11,24.4495487972124,24.32000000000005,24.32000000000005,8512.448820279378
0.111,24.450592056489995,24.32000000000005,24.32000000000005,8512.449778236194
0.112,24.45163242131133,24.32000000000005,24.32000000000005,8512.450736190614
0.113,24.452669893414622,24.32000000000005,24.32000000000005,8512.45169414264
0.114,24.453704474913764,24.32000000000005,24.32000000000005,8512.45265209227
0.115,24.45473616828491,24.32000000000005,24.32000000000005,8512.453610039503
0.116,24.45576497635335,24.32000000000005,24.32000000000005,8512.454567984343
0.117,24.456790902280886,24.32000000000005,24.32000000000005,8512.455525926787
0.11800000000000001,24.457813949553383,24.32000000000005,24.32000000000005,8512.456483866834
0.11900000000000001,24.45883412196889,24.32000000000005,24.32000000000005,8512.457441804485
0.12,24.459851423625935,24.32000000000005,24.32000000000005,8512.458399739739
0.121,24.4608658589122,24.32000000000005,24.32000000000005,8512.459357672597
0.122,24.461877432493395,24.32000000000005,24.32000000000005,8512.46031560306
0.123,24.462886149302847,24.32000000000005,24.32000000000005,8512.461273531128
0.124,24.46389201453087,24.32000000000005,24.32000000000005,8512.462231456797
0.125,24.464895033614937,24.32000000000005,24.32000000000005,8512.46318938007
0.126,24.46589521222967,24.32000000000005,24.32000000000005,8512.464147300945
0.127,24.46689255627757,24.32000000000005,24.32000000000005,8512.465105219424
0.128,24.46788707187966,24.32000000000005,24.32000000000005,8512.466063135504
0.129,24.468878765366753,24.32000000000005,24.32000000000005,8512.46702104919
0.13,24.469867643270618,24.32000000000005,24.32000000000005,8512.467978960476
0.131,24.470853712315602,24.32000000000005,24.32000000000005,8512.468936869367
0.132,24.471836979410796,24.32000000000005,24.32000000000005,8512.469894775859
0.133,24.472817451641845,24.32000000000005,24.32000000000005,8512.47085267995
0.134,24.473795136263504,24.32000000000005,24.32000000000005,8512.47181058165
0.135,24.47477004069202,24.32000000000005,24.32000000000005,8512.472768480946
0.136,24.4757421724982,24.32000000000005,24.32000000000005,8512.473726377846
0.137,24.476711539400355,24.32000000000005,24.32000000000005,8512.474684272349
0.138,24.477678149257713,24.32000000000005,24.32000000000005,8512.475642164452
0.139,24.47864201006371,24.32000000000005,24.32000000000005,8512.476600054155
0.14,24.479603129939733,24.32000000000005,24.32000000000005,8512.477557941462
0.14100000000000001,24.480561517129274,24.32000000000005,24.32000000000005,8512.478515826368
0.14200000000000002,24.481517179991613,24.32000000000005,24.32000000000005,8512.479473708876
0.14300000000000002,24.482470126996418,24.32000000000005,24.32000000000005,8512.480431588985
0.14400000000000002,24.48342036671818,24.32000000000005,24.32000000000005,8512.481389466697
0.145,24.48436790783063,24.32000000000005,24.32000000000005,8512.482347342006
0.146,24.485312759101816,24.32000000000005,24.32000000000005,8512.483305214917
0.147,24.48625492938902,24.32000000000005,24.32000000000005,8512.48426308543
0.148,24.487194427633824,24.32000000000005,24.32000000000005,8512.48522095354
0.149,24.488131262857507,24.32000000000005,24.32000000000005,8512.486178819254
0.15,24.489065444156495,24.32000000000005,24.32000000000005,8512.487136682565
0.151,24.48999698069798,24.32000000000005,24.32000000000005,8512.488094543474
0.152,24.49092588171567,24.32000000000005,24.32000000000005,8512.489052401987
0.153,24.49185215650573,24.32000000000005,24.32000000000005,8512.490010258098
0.154,24.492775814422714,24.32000000000005,24.32000000000005,8512.490968111808
0.155,24.493696864875858,24.32000000000005,24.32000000000005,8512.491925963115
0.156,24.494615317325326,24.32000000000005,24.32000000000005,8512.492883812027
0.157,24.495531181278693,24.32000000000005,24.32000000000005,8512.493841658536
0.158,24.496444466287414,24.32000000000005,24.32000000000005,8512.49479950264
0.159,24.49735518194359,24.32000000000005,24.32000000000005,8512.495757344346
0.16,24.498263337876494,24.32000000000005,24.32000000000005,8512.49671518365
0.161,24.49916894374985,24.32000000000005,24.32000000000005,8512.49767302055
0.162,24.50007200925853,24.32000000000005,24.32000000000005,8512.498630855052
0.163,24.500972544125716,24.32000000000005,24.32000000000005,8512.499588687151
0.164,24.50187055810028,24.32000000000005,24.32000000000005,8512.50054651685
0.165,24.502766060953718,24.32000000000005,24.32000000000005,8512.501504344145
0.166,24.503659062477993,24.32000000000005,24.32000000000005,8512.502462169039
0.167,24.50454957248263,24.32000000000005,24.32000000000005,8512.50341999153
0.168,24.50543760079256,24.32000000000005,24.32000000000005,8512.504377811618
0.169,24.506323157245617,24.32000000000005,24.32000000000005,8512.505335629305
0.17,24.507206251690263,24.32000000000005,24.32000000000005,8512.506293444589
0.171,24.508086893983545,24.32000000000005,24.32000000000005,8512.507251257466
0.17200000000000001,24.50896509398899,24.32000000000005,24.32000000000005,8512.508209067946
0.17300000000000001,24.509840861574446,24.32000000000005,24.32000000000005,8512.509166876021
0.17400000000000002,24.510714206610203,24.32000000000005,24.32000000000005,8512.51012468169
0.17500000000000002,24.511585138967177,24.32000000000005,24.32000000000005,8512.51108248496
0.176,24.512453668515036,24.32000000000005,24.32000000000005,8512.512040285825
0.177,24.51331980512043,24.32000000000005,24.32000000000005,8512.512998084285
0.178,24.514183558645357,24.32000000000005,24.32000000000005,8512.513955880344
0.179,24.515044938945607,24.32000000000005,24.32000000000005,8512.514913673996
0.18,24.515903955869135,24.32000000000005,24.32000000000005,8512.515871465246
0.181,24.516760619254455,24.32000000000005,24.32000000000005,8512.516829254091
0.182,24.517614938929455,24.32000000000005,24.32000000000005,8512.517787040531
0.183,24.518466924709855,24.32000000000005,24.32000000000005,8512.518744824569
0.184,24.51931658639785,24.32000000000005,24.32000000000005,8512.5197026062
0.185,24.520163933780907,24.32000000000005,24.32000000000005,8512.52066038543
0.186,24.52100897663047,24.32000000000005,24.32000000000005,8512.521618162253
0.187,24.521851724700923,24.32000000000005,24.32000000000005,8512.522575936668
0.188,24.52269218772824,24.32000000000005,24.32000000000005,8512.523533708683
0.189,24.52353037542906,24.32000000000005,24.32000000000005,8512.524491478289
0.19,24.524366297499682,24.32000000000005,24.32000000000005,8512.525449245491
0.191,24.52519996361474,24.32000000000005,24.32000000000005,8512.52640701029
0.192,24.526031383426698,24.32000000000005,24.32000000000005,8512.52736477268
0.193,24.526860566564608,24.32000000000005,24.32000000000005,8512.528322532668
0.194,24.527687522633357,24.32000000000005,24.32000000000005,8512.529280290246
0.195,24.52851226121271,24.32000000000005,24.32000000000005,8512.53023804542
